textbox1
Exportaciones del 01/11/2010 al 30/11/2010

NombrePais,textbox11,Categoria,textbox14,Clase,textbox17
ALEMANIA,"690,786.39",TEQUILA,"687,873.69",BLANCO,"569,449.92"
ALEMANIA,"690,786.39",TEQUILA,"687,873.69",JOVEN,"33,335.02"
ALEMANIA,"690,786.39",TEQUILA,"687,873.69",REPOSADO,"85,088.75"
ALEMANIA,"690,786.39",TEQUILA 100% DE AGAVE,"2,912.70",AÑEJO,875.40
ALEMANIA,"690,786.39",TEQUILA 100% DE AGAVE,"2,912.70",BLANCO,"1,314.60"
ALEMANIA,"690,786.39",TEQUILA 100% DE AGAVE,"2,912.70",REPOSADO,722.70
ARGENTINA,"14,223.38",TEQUILA,"14,223.38",BLANCO,"1,800.00"
ARGENTINA,"14,223.38",TEQUILA,"14,223.38",JOVEN,"2,700.00"
ARGENTINA,"14,223.38",TEQUILA,"14,223.38",REPOSADO,"9,723.38"
ARMENIA ,"6,203.85",TEQUILA,"6,158.85",AÑEJO,253.65
ARMENIA ,"6,203.85",TEQUILA,"6,158.85",BLANCO,"3,933.00"
ARMENIA ,"6,203.85",TEQUILA,"6,158.85",JOVEN,"1,972.20"
ARMENIA ,"6,203.85",TEQUILA 100% DE AGAVE,45.00,AÑEJO,45.00
ARUBA,"10,260.00",TEQUILA,"10,260.00",BLANCO,"10,260.00"
AUSTRALIA,"50,184.09",TEQUILA,"39,446.82",BLANCO,"4,207.14"
AUSTRALIA,"50,184.09",TEQUILA,"39,446.82",REPOSADO,"35,239.68"
AUSTRALIA,"50,184.09",TEQUILA 100% DE AGAVE,"10,737.27",AÑEJO,4.50
AUSTRALIA,"50,184.09",TEQUILA 100% DE AGAVE,"10,737.27",BLANCO,"2,738.97"
AUSTRALIA,"50,184.09",TEQUILA 100% DE AGAVE,"10,737.27",REPOSADO,"7,993.80"
AZERBAIJAN ,"12,707.70",TEQUILA,"12,032.70",BLANCO,"7,866.00"
AZERBAIJAN ,"12,707.70",TEQUILA,"12,032.70",JOVEN,"4,166.70"
AZERBAIJAN ,"12,707.70",TEQUILA 100% DE AGAVE,675.00,AÑEJO,135.00
AZERBAIJAN ,"12,707.70",TEQUILA 100% DE AGAVE,675.00,BLANCO,450.00
AZERBAIJAN ,"12,707.70",TEQUILA 100% DE AGAVE,675.00,REPOSADO,90.00
BAHAMAS,"8,995.50",TEQUILA 100% DE AGAVE,"8,995.50",BLANCO,"2,425.50"
BAHAMAS,"8,995.50",TEQUILA 100% DE AGAVE,"8,995.50",REPOSADO,"6,570.00"
BELGICA,"37,255.34",TEQUILA,"35,260.34",BLANCO,"33,345.14"
BELGICA,"37,255.34",TEQUILA,"35,260.34",JOVEN,"1,915.20"
BELGICA,"37,255.34",TEQUILA 100% DE AGAVE,"1,995.00",REPOSADO,"1,995.00"
BOSNIA,"11,491.20",TEQUILA,"11,491.20",BLANCO,"7,660.80"
BOSNIA,"11,491.20",TEQUILA,"11,491.20",REPOSADO,"3,830.40"
BRASIL,"86,017.83",TEQUILA,"80,812.80",AÑEJO,"4,032.00"
BRASIL,"86,017.83",TEQUILA,"80,812.80",BLANCO,"32,644.80"
BRASIL,"86,017.83",TEQUILA,"80,812.80",JOVEN,"7,200.00"
BRASIL,"86,017.83",TEQUILA,"80,812.80",REPOSADO,"36,936.00"
BRASIL,"86,017.83",TEQUILA 100% DE AGAVE,"5,205.03",AÑEJO,414.15
BRASIL,"86,017.83",TEQUILA 100% DE AGAVE,"5,205.03",BLANCO,"2,341.74"
BRASIL,"86,017.83",TEQUILA 100% DE AGAVE,"5,205.03",EXTRA AÑEJO,56.25
BRASIL,"86,017.83",TEQUILA 100% DE AGAVE,"5,205.03",REPOSADO,"2,392.89"
CANADA,"326,184.05",TEQUILA,"314,217.74",BLANCO,"213,316.17"
CANADA,"326,184.05",TEQUILA,"314,217.74",JOVEN,"100,901.57"
CANADA,"326,184.05",TEQUILA 100% DE AGAVE,"11,966.31",AÑEJO,"2,709.00"
CANADA,"326,184.05",TEQUILA 100% DE AGAVE,"11,966.31",BLANCO,603.47
CANADA,"326,184.05",TEQUILA 100% DE AGAVE,"11,966.31",REPOSADO,"8,653.85"
CHILE,"166,903.20",TEQUILA,"166,903.20",BLANCO,"133,344.00"
CHILE,"166,903.20",TEQUILA,"166,903.20",JOVEN,"21,420.00"
CHILE,"166,903.20",TEQUILA,"166,903.20",REPOSADO,"12,139.20"
CHINA,"5,342.00",TEQUILA,"5,342.00",BLANCO,"2,228.50"
CHINA,"5,342.00",TEQUILA,"5,342.00",JOVEN,391.00
CHINA,"5,342.00",TEQUILA,"5,342.00",REPOSADO,"2,722.50"
COLOMBIA,"2,395.50",TEQUILA,"1,732.50",REPOSADO,"1,732.50"
COLOMBIA,"2,395.50",TEQUILA 100% DE AGAVE,663.00,AÑEJO,285.00
COLOMBIA,"2,395.50",TEQUILA 100% DE AGAVE,663.00,REPOSADO,378.00
COREA DEL SUR,"22,237.53",TEQUILA,"14,437.53",AÑEJO,"2,111.85"
COREA DEL SUR,"22,237.53",TEQUILA,"14,437.53",REPOSADO,"12,325.68"
COREA DEL SUR,"22,237.53",TEQUILA 100% DE AGAVE,"7,800.00",JOVEN,"7,800.00"
COSTA RICA,"18,823.65",TEQUILA,"18,823.65",BLANCO,"2,701.20"
COSTA RICA,"18,823.65",TEQUILA,"18,823.65",JOVEN,"1,433.25"
COSTA RICA,"18,823.65",TEQUILA,"18,823.65",REPOSADO,"14,689.20"
DINAMARCA,"7,182.00",TEQUILA,"7,182.00",BLANCO,"5,386.50"
DINAMARCA,"7,182.00",TEQUILA,"7,182.00",REPOSADO,"1,795.50"
ECUADOR,"25,711.88",TEQUILA,"25,711.88",BLANCO,"25,711.88"
EL SALVADOR,"15,955.50",TEQUILA,"14,785.50",BLANCO,"5,250.00"
EL SALVADOR,"15,955.50",TEQUILA,"14,785.50",JOVEN,"3,150.00"
EL SALVADOR,"15,955.50",TEQUILA,"14,785.50",REPOSADO,"6,385.50"
EL SALVADOR,"15,955.50",TEQUILA 100% DE AGAVE,"1,170.00",AÑEJO,157.50
EL SALVADOR,"15,955.50",TEQUILA 100% DE AGAVE,"1,170.00",REPOSADO,"1,012.50"
EMIRATOS ARABES UNIDOS,"5,751.00",TEQUILA 100% DE AGAVE,"5,751.00",AÑEJO,658.50
