SubCategoria,Year,Valor,AñoArchivo,Mes
Tequila 100%,1995,4.0,1995,1
Tequila,1995,14.0,1995,1
Total,1995,18.0,1995,1
Tequila 100%,1995,5.2,1995,2
Tequila,1995,18.2,1995,2
Total,1995,23.4,1995,2
Tequila 100%,1995,5.7,1995,3
Tequila,1995,18.0,1995,3
Total,1995,23.7,1995,3
Tequila 100%,1995,3.7,1995,4
Tequila,1995,12.3,1995,4
Total,1995,16.0,1995,4
Tequila 100%,1995,4.8,1995,5
Tequila,1995,15.0,1995,5
Total,1995,19.8,1995,5
Tequila 100%,1995,6.3,1995,6
Tequila,1995,16.1,1995,6
Total,1995,22.4,1995,6
Tequila 100%,1995,8.1,1995,7
Tequila,1995,17.9,1995,7
Total,1995,26.0,1995,7
Tequila 100%,1995,8.3,1995,8
Tequila,1995,17.8,1995,8
Total,1995,26.1,1995,8
Tequila 100%,1995,6.3,1995,9
Tequila,1995,16.7,1995,9
Total,1995,23.1,1995,9
Tequila 100%,1995,7.9,1995,10
Tequila,1995,22.0,1995,10
Total,1995,29.9,1995,10
Tequila 100%,1995,4.0,1995,11
Tequila,1995,20.9,1995,11
Total,1995,24.9,1995,11
Tequila 100%,1995,10.9,1995,12
Tequila,1995,14.4,1995,12
Total,1995,25.3,1995,12
Tequila 100%,1996,9.7,1996,1
Tequila,1996,19.6,1996,1
Total,1996,29.3,1996,1
Tequila 100%,1996,9.9,1996,2
Tequila,1996,18.8,1996,2
Total,1996,28.7,1996,2
Tequila 100%,1996,11.1,1996,3
Tequila,1996,23.9,1996,3
Total,1996,35.0,1996,3
Tequila 100%,1996,10.0,1996,4
Tequila,1996,22.0,1996,4
Total,1996,32.1,1996,4
Tequila 100%,1996,12.0,1996,5
Tequila,1996,18.9,1996,5
Total,1996,30.9,1996,5
Tequila 100%,1996,18.0,1996,6
Tequila,1996,19.1,1996,6
Total,1996,37.1,1996,6
Tequila 100%,1996,14.8,1996,7
Tequila,1996,25.5,1996,7
Total,1996,40.2,1996,7
Tequila 100%,1996,16.3,1996,8
Tequila,1996,24.3,1996,8
Total,1996,40.6,1996,8
Tequila 100%,1996,14.9,1996,9
Tequila,1996,19.9,1996,9
Total,1996,34.7,1996,9
Tequila 100%,1996,16.6,1996,10
Tequila,1996,24.4,1996,10
Total,1996,41.0,1996,10
Tequila 100%,1996,16.3,1996,11
Tequila,1996,25.7,1996,11
Total,1996,42.0,1996,11
Tequila 100%,1996,17.5,1996,12
Tequila,1996,20.3,1996,12
Total,1996,37.8,1996,12
Tequila 100%,1997,20.1,1997,1
Tequila,1997,20.3,1997,1
Total,1997,40.4,1997,1
Tequila 100%,1997,16.4,1997,2
Tequila,1997,22.4,1997,2
Total,1997,38.8,1997,2
Tequila 100%,1997,14.6,1997,3
Tequila,1997,24.6,1997,3
Total,1997,39.1,1997,3
Tequila 100%,1997,19.0,1997,4
Tequila,1997,23.8,1997,4
Total,1997,42.8,1997,4
Tequila 100%,1997,21.6,1997,5
Tequila,1997,23.7,1997,5
Total,1997,45.3,1997,5
Tequila 100%,1997,18.7,1997,6
Tequila,1997,21.0,1997,6
Total,1997,39.8,1997,6
Tequila 100%,1997,20.9,1997,7
Tequila,1997,21.9,1997,7
Total,1997,42.9,1997,7
Tequila 100%,1997,22.3,1997,8
Tequila,1997,21.4,1997,8
Total,1997,43.7,1997,8
Tequila 100%,1997,22.4,1997,9
Tequila,1997,24.5,1997,9
Total,1997,47.0,1997,9
Tequila 100%,1997,25.0,1997,10
Tequila,1997,27.2,1997,10
Total,1997,52.2,1997,10
Tequila 100%,1997,21.5,1997,11
Tequila,1997,26.4,1997,11
Total,1997,47.9,1997,11
Tequila 100%,1997,23.6,1997,12
Tequila,1997,18.8,1997,12
Total,1997,42.3,1997,12
Tequila 100%,1998,28.3,1998,1
Tequila,1998,17.7,1998,1
Total,1998,46.0,1998,1
Tequila 100%,1998,23.3,1998,2
Tequila,1998,21.3,1998,2
Total,1998,44.6,1998,2
Tequila 100%,1998,29.6,1998,3
Tequila,1998,21.7,1998,3
Total,1998,51.3,1998,3
Tequila 100%,1998,25.6,1998,4
Tequila,1998,18.7,1998,4
Total,1998,44.3,1998,4
Tequila 100%,1998,27.6,1998,5
Tequila,1998,26.7,1998,5
Total,1998,54.3,1998,5
Tequila 100%,1998,32.5,1998,6
Tequila,1998,25.3,1998,6
Total,1998,57.9,1998,6
Tequila 100%,1998,33.3,1998,7
Tequila,1998,24.9,1998,7
Total,1998,58.2,1998,7
Tequila 100%,1998,34.2,1998,8
Tequila,1998,28.7,1998,8
Total,1998,62.9,1998,8
Tequila 100%,1998,28.6,1998,9
Tequila,1998,26.5,1998,9
Total,1998,55.1,1998,9
Tequila 100%,1998,44.4,1998,10
Tequila,1998,27.9,1998,10
Total,1998,72.3,1998,10
Tequila 100%,1998,34.4,1998,11
Tequila,1998,30.6,1998,11
Total,1998,65.0,1998,11
Tequila 100%,1998,33.8,1998,12
Tequila,1998,26.4,1998,12
Total,1998,60.2,1998,12
Tequila 100%,1999,35.3,1999,1
Tequila,1999,25.4,1999,1
Total,1999,60.7,1999,1
Tequila 100%,1999,35.5,1999,2
Tequila,1999,24.2,1999,2
Total,1999,59.7,1999,2
Tequila 100%,1999,41.9,1999,3
Tequila,1999,31.2,1999,3
Total,1999,73.1,1999,3
Tequila 100%,1999,36.7,1999,4
Tequila,1999,24.0,1999,4
Total,1999,60.6,1999,4
Tequila 100%,1999,37.7,1999,5
Tequila,1999,29.4,1999,5
Total,1999,67.1,1999,5
Tequila 100%,1999,38.0,1999,6
Tequila,1999,28.9,1999,6
Total,1999,66.9,1999,6
Tequila 100%,1999,36.9,1999,7
Tequila,1999,32.0,1999,7
Total,1999,68.8,1999,7
Tequila 100%,1999,37.2,1999,8
Tequila,1999,33.3,1999,8
Total,1999,70.5,1999,8
Tequila 100%,1999,31.3,1999,9
Tequila,1999,31.9,1999,9
Total,1999,63.2,1999,9
Tequila 100%,1999,34.1,1999,10
Tequila,1999,34.4,1999,10
Total,1999,68.6,1999,10
Tequila 100%,1999,25.8,1999,11
Tequila,1999,37.0,1999,11
Total,1999,62.8,1999,11
Tequila 100%,1999,22.7,1999,12
Tequila,1999,35.4,1999,12
Total,1999,58.1,1999,12
Tequila 100%,2000,34.3,2000,1
Tequila,2000,31.1,2000,1
Total,2000,65.5,2000,1
Tequila 100%,2000,26.7,2000,2
Tequila,2000,37.2,2000,2
Total,2000,63.9,2000,2
Tequila 100%,2000,19.6,2000,3
Tequila,2000,42.0,2000,3
Total,2000,61.6,2000,3
Tequila 100%,2000,14.4,2000,4
Tequila,2000,33.8,2000,4
Total,2000,48.2,2000,4
