SubCategoria,Year,Valor,AñoArchivo,Mes
Tequila 100%,1995,0.1,1995,1
Tequila,1995,5.4,1995,1
Total,1995,5.5,1995,1
Tequila 100%,1995,0.1,1995,2
Tequila,1995,4.4,1995,2
Total,1995,4.5,1995,2
Tequila 100%,1995,0.1,1995,3
Tequila,1995,6.9,1995,3
Total,1995,7.1,1995,3
Tequila 100%,1995,0.1,1995,4
Tequila,1995,4.2,1995,4
Total,1995,4.3,1995,4
Tequila 100%,1995,0.1,1995,5
Tequila,1995,6.0,1995,5
Total,1995,6.0,1995,5
Tequila 100%,1995,0.1,1995,6
Tequila,1995,5.0,1995,6
Total,1995,5.1,1995,6
Tequila 100%,1995,0.1,1995,7
Tequila,1995,5.7,1995,7
Total,1995,5.8,1995,7
Tequila 100%,1995,0.1,1995,8
Tequila,1995,6.9,1995,8
Total,1995,6.9,1995,8
Tequila 100%,1995,0.1,1995,9
Tequila,1995,6.6,1995,9
Total,1995,6.7,1995,9
Tequila 100%,1995,0.2,1995,10
Tequila,1995,4.6,1995,10
Total,1995,4.8,1995,10
Tequila 100%,1995,0.1,1995,11
Tequila,1995,4.4,1995,11
Total,1995,4.6,1995,11
Tequila 100%,1995,0.1,1995,12
Tequila,1995,3.3,1995,12
Total,1995,3.5,1995,12
Tequila 100%,1996,0.1,1996,1
Tequila,1996,6.6,1996,1
Total,1996,6.7,1996,1
Tequila 100%,1996,0.2,1996,2
Tequila,1996,5.1,1996,2
Total,1996,5.3,1996,2
Tequila 100%,1996,0.1,1996,3
Tequila,1996,6.0,1996,3
Total,1996,6.1,1996,3
Tequila 100%,1996,0.1,1996,4
Tequila,1996,5.8,1996,4
Total,1996,5.9,1996,4
Tequila 100%,1996,0.2,1996,5
Tequila,1996,6.6,1996,5
Total,1996,6.7,1996,5
Tequila 100%,1996,0.1,1996,6
Tequila,1996,5.7,1996,6
Total,1996,5.8,1996,6
Tequila 100%,1996,0.2,1996,7
Tequila,1996,6.1,1996,7
Total,1996,6.3,1996,7
Tequila 100%,1996,0.2,1996,8
Tequila,1996,8.2,1996,8
Total,1996,8.4,1996,8
Tequila 100%,1996,0.1,1996,9
Tequila,1996,7.1,1996,9
Total,1996,7.2,1996,9
Tequila 100%,1996,0.2,1996,10
Tequila,1996,6.3,1996,10
Total,1996,6.5,1996,10
Tequila 100%,1996,0.2,1996,11
Tequila,1996,5.5,1996,11
Total,1996,5.7,1996,11
Tequila 100%,1996,0.2,1996,12
Tequila,1996,4.4,1996,12
Total,1996,4.5,1996,12
Tequila 100%,1997,0.3,1997,1
Tequila,1997,6.8,1997,1
Total,1997,7.1,1997,1
Tequila 100%,1997,0.3,1997,2
Tequila,1997,6.6,1997,2
Total,1997,6.9,1997,2
Tequila 100%,1997,0.1,1997,3
Tequila,1997,6.5,1997,3
Total,1997,6.6,1997,3
Tequila 100%,1997,0.2,1997,4
Tequila,1997,7.1,1997,4
Total,1997,7.3,1997,4
Tequila 100%,1997,0.3,1997,5
Tequila,1997,6.7,1997,5
Total,1997,7.0,1997,5
Tequila 100%,1997,0.3,1997,6
Tequila,1997,6.6,1997,6
Total,1997,6.9,1997,6
Tequila 100%,1997,0.2,1997,7
Tequila,1997,7.8,1997,7
Total,1997,8.0,1997,7
Tequila 100%,1997,0.3,1997,8
Tequila,1997,8.6,1997,8
Total,1997,8.9,1997,8
Tequila 100%,1997,0.3,1997,9
Tequila,1997,7.7,1997,9
Total,1997,8.0,1997,9
Tequila 100%,1997,0.5,1997,10
Tequila,1997,6.5,1997,10
Total,1997,6.9,1997,10
Tequila 100%,1997,0.3,1997,11
Tequila,1997,5.6,1997,11
Total,1997,5.9,1997,11
Tequila 100%,1997,0.2,1997,12
Tequila,1997,4.6,1997,12
Total,1997,4.8,1997,12
Tequila 100%,1998,0.4,1998,1
Tequila,1998,5.1,1998,1
Total,1998,5.5,1998,1
Tequila 100%,1998,0.3,1998,2
Tequila,1998,6.3,1998,2
Total,1998,6.6,1998,2
Tequila 100%,1998,0.6,1998,3
Tequila,1998,6.7,1998,3
Total,1998,7.3,1998,3
Tequila 100%,1998,0.4,1998,4
Tequila,1998,6.4,1998,4
Total,1998,6.8,1998,4
Tequila 100%,1998,0.4,1998,5
Tequila,1998,7.4,1998,5
Total,1998,7.7,1998,5
Tequila 100%,1998,0.4,1998,6
Tequila,1998,9.2,1998,6
Total,1998,9.6,1998,6
Tequila 100%,1998,0.4,1998,7
Tequila,1998,6.9,1998,7
Total,1998,7.3,1998,7
Tequila 100%,1998,0.5,1998,8
Tequila,1998,6.8,1998,8
Total,1998,7.3,1998,8
Tequila 100%,1998,0.5,1998,9
Tequila,1998,6.9,1998,9
Total,1998,7.4,1998,9
Tequila 100%,1998,0.4,1998,10
Tequila,1998,7.4,1998,10
Total,1998,7.8,1998,10
Tequila 100%,1998,0.6,1998,11
Tequila,1998,6.9,1998,11
Total,1998,7.4,1998,11
Tequila 100%,1998,0.3,1998,12
Tequila,1998,5.5,1998,12
Total,1998,5.8,1998,12
Tequila 100%,1999,0.3,1999,1
Tequila,1999,6.9,1999,1
Total,1999,7.2,1999,1
Tequila 100%,1999,0.4,1999,2
Tequila,1999,4.6,1999,2
Total,1999,5.0,1999,2
Tequila 100%,1999,0.5,1999,3
Tequila,1999,7.7,1999,3
Total,1999,8.2,1999,3
Tequila 100%,1999,0.6,1999,4
Tequila,1999,6.3,1999,4
Total,1999,6.9,1999,4
Tequila 100%,1999,0.5,1999,5
Tequila,1999,8.5,1999,5
Total,1999,9.1,1999,5
Tequila 100%,1999,0.6,1999,6
Tequila,1999,9.1,1999,6
Total,1999,9.7,1999,6
Tequila 100%,1999,0.6,1999,7
Tequila,1999,8.0,1999,7
Total,1999,8.6,1999,7
Tequila 100%,1999,0.6,1999,8
Tequila,1999,8.3,1999,8
Total,1999,8.8,1999,8
Tequila 100%,1999,0.7,1999,9
Tequila,1999,8.9,1999,9
Total,1999,9.6,1999,9
Tequila 100%,1999,0.8,1999,10
Tequila,1999,8.0,1999,10
Total,1999,8.8,1999,10
Tequila 100%,1999,0.7,1999,11
Tequila,1999,7.8,1999,11
Total,1999,8.5,1999,11
Tequila 100%,1999,0.8,1999,12
Tequila,1999,6.1,1999,12
Total,1999,6.9,1999,12
Tequila 100%,2000,0.5,2000,1
Tequila,2000,7.5,2000,1
Total,2000,8.0,2000,1
Tequila 100%,2000,0.5,2000,2
Tequila,2000,7.4,2000,2
Total,2000,7.9,2000,2
Tequila 100%,2000,0.8,2000,3
Tequila,2000,8.2,2000,3
Total,2000,8.9,2000,3
Tequila 100%,2000,0.8,2000,4
Tequila,2000,6.9,2000,4
Total,2000,7.7,2000,4
Tequila 100%,2000,0.8,2000,5
Tequila,2000,8.6,2000,5
Total,2000,9.3,2000,5
Tequila 100%,2000,0.6,2000,6
Tequila,2000,7.5,2000,6
Total,2000,8.1,2000,6
Tequila 100%,2000,0.6,2000,7
Tequila,2000,6.0,2000,7
Total,2000,6.6,2000,7
Tequila 100%,2000,0.6,2000,8
Tequila,2000,9.2,2000,8
Total,2000,9.9,2000,8
Tequila 100%,2000,0.9,2000,9
Tequila,2000,6.9,2000,9
Total,2000,7.8,2000,9
Tequila 100%,2000,0.7,2000,10
Tequila,2000,8.1,2000,10
Total,2000,8.8,2000,10
Tequila 100%,2000,0.7,2000,11
Tequila,2000,8.8,2000,11
Total,2000,9.5,2000,11
Tequila 100%,2000,0.7,2000,12
