SubCategoria,Year,Valor,AñoArchivo,Mes
Granel,1995,5.0,1995,1
Envasado,1995,0.5,1995,1
Total,1995,5.5,1995,1
Granel,1995,4.1,1995,2
Envasado,1995,0.4,1995,2
Total,1995,4.5,1995,2
Granel,1995,6.5,1995,3
Envasado,1995,0.5,1995,3
Total,1995,7.1,1995,3
Granel,1995,3.7,1995,4
Envasado,1995,0.5,1995,4
Total,1995,4.3,1995,4
Granel,1995,5.5,1995,5
Envasado,1995,0.5,1995,5
Total,1995,6.0,1995,5
Granel,1995,4.6,1995,6
Envasado,1995,0.5,1995,6
Total,1995,5.1,1995,6
Granel,1995,5.2,1995,7
Envasado,1995,0.6,1995,7
Total,1995,5.8,1995,7
Granel,1995,6.4,1995,8
Envasado,1995,0.5,1995,8
Total,1995,6.9,1995,8
Granel,1995,5.9,1995,9
Envasado,1995,0.7,1995,9
Total,1995,6.7,1995,9
Granel,1995,4.1,1995,10
Envasado,1995,0.7,1995,10
Total,1995,4.8,1995,10
Granel,1995,4.0,1995,11
Envasado,1995,0.6,1995,11
Total,1995,4.6,1995,11
Granel,1995,3.0,1995,12
Envasado,1995,0.5,1995,12
Total,1995,3.5,1995,12
Granel,1996,6.3,1996,1
Envasado,1996,0.5,1996,1
Total,1996,6.7,1996,1
Granel,1996,4.3,1996,2
Envasado,1996,1.0,1996,2
Total,1996,5.3,1996,2
Granel,1996,5.5,1996,3
Envasado,1996,0.6,1996,3
Total,1996,6.1,1996,3
Granel,1996,5.5,1996,4
Envasado,1996,0.5,1996,4
Total,1996,5.9,1996,4
Granel,1996,6.0,1996,5
Envasado,1996,0.7,1996,5
Total,1996,6.7,1996,5
Granel,1996,5.2,1996,6
Envasado,1996,0.7,1996,6
Total,1996,5.8,1996,6
Granel,1996,5.6,1996,7
Envasado,1996,0.7,1996,7
Total,1996,6.3,1996,7
Granel,1996,7.2,1996,8
Envasado,1996,1.2,1996,8
Total,1996,8.4,1996,8
Granel,1996,6.4,1996,9
Envasado,1996,0.8,1996,9
Total,1996,7.2,1996,9
Granel,1996,5.4,1996,10
Envasado,1996,1.1,1996,10
Total,1996,6.5,1996,10
Granel,1996,4.8,1996,11
Envasado,1996,0.9,1996,11
Total,1996,5.7,1996,11
Granel,1996,4.0,1996,12
Envasado,1996,0.5,1996,12
Total,1996,4.5,1996,12
Granel,1997,6.3,1997,1
Envasado,1997,0.8,1997,1
Total,1997,7.1,1997,1
Granel,1997,5.9,1997,2
Envasado,1997,1.0,1997,2
Total,1997,6.9,1997,2
Granel,1997,6.0,1997,3
Envasado,1997,0.5,1997,3
Total,1997,6.6,1997,3
Granel,1997,6.5,1997,4
Envasado,1997,0.8,1997,4
