SubCategoria,Year,Valor,AñoArchivo,Mes
Tequila 100%,1995,0.8,1995,1
Tequila,1995,5.6,1995,1
Total,1995,6.3,1995,1
Tequila 100%,1995,0.9,1995,2
Tequila,1995,8.1,1995,2
Total,1995,9.1,1995,2
Tequila 100%,1995,1.3,1995,3
Tequila,1995,8.5,1995,3
Total,1995,9.8,1995,3
Tequila 100%,1995,0.7,1995,4
Tequila,1995,5.8,1995,4
Total,1995,6.5,1995,4
Tequila 100%,1995,0.9,1995,5
Tequila,1995,7.3,1995,5
Total,1995,8.2,1995,5
Tequila 100%,1995,1.3,1995,6
Tequila,1995,7.5,1995,6
Total,1995,8.7,1995,6
Tequila 100%,1995,1.6,1995,7
Tequila,1995,8.0,1995,7
Total,1995,9.6,1995,7
Tequila 100%,1995,1.6,1995,8
Tequila,1995,7.7,1995,8
Total,1995,9.4,1995,8
Tequila 100%,1995,1.1,1995,9
Tequila,1995,6.4,1995,9
Total,1995,7.5,1995,9
Tequila 100%,1995,1.5,1995,10
Tequila,1995,9.0,1995,10
Total,1995,10.5,1995,10
Tequila 100%,1995,1.8,1995,11
Tequila,1995,8.6,1995,11
Total,1995,10.4,1995,11
Tequila 100%,1995,2.0,1995,12
Tequila,1995,6.2,1995,12
Total,1995,8.3,1995,12
Tequila 100%,1996,1.9,1996,1
Tequila,1996,8.3,1996,1
Total,1996,10.2,1996,1
Tequila 100%,1996,1.8,1996,2
Tequila,1996,6.9,1996,2
Total,1996,8.6,1996,2
Tequila 100%,1996,2.2,1996,3
Tequila,1996,9.7,1996,3
Total,1996,11.9,1996,3
Tequila 100%,1996,1.8,1996,4
Tequila,1996,8.4,1996,4
Total,1996,10.2,1996,4
Tequila 100%,1996,2.1,1996,5
Tequila,1996,7.4,1996,5
Total,1996,9.4,1996,5
Tequila 100%,1996,3.1,1996,6
Tequila,1996,8.0,1996,6
Total,1996,11.1,1996,6
Tequila 100%,1996,2.8,1996,7
Tequila,1996,9.5,1996,7
Total,1996,12.4,1996,7
Tequila 100%,1996,2.9,1996,8
Tequila,1996,9.8,1996,8
Total,1996,12.6,1996,8
Tequila 100%,1996,2.5,1996,9
Tequila,1996,8.7,1996,9
Total,1996,11.2,1996,9
Tequila 100%,1996,2.5,1996,10
Tequila,1996,9.1,1996,10
Total,1996,11.6,1996,10
Tequila 100%,1996,2.9,1996,11
Tequila,1996,10.6,1996,11
Total,1996,13.5,1996,11
Tequila 100%,1996,3.0,1996,12
Tequila,1996,9.0,1996,12
Total,1996,12.0,1996,12
Tequila 100%,1997,3.9,1997,1
Tequila,1997,7.8,1997,1
Total,1997,11.7,1997,1
Tequila 100%,1997,2.8,1997,2
Tequila,1997,9.3,1997,2
Total,1997,12.1,1997,2
Tequila 100%,1997,2.8,1997,3
Tequila,1997,10.6,1997,3
Total,1997,13.4,1997,3
Tequila 100%,1997,3.3,1997,4
Tequila,1997,9.9,1997,4
Total,1997,13.2,1997,4
Tequila 100%,1997,4.0,1997,5
Tequila,1997,9.7,1997,5
Total,1997,13.7,1997,5
Tequila 100%,1997,2.9,1997,6
Tequila,1997,8.5,1997,6
Total,1997,11.4,1997,6
Tequila 100%,1997,2.9,1997,7
Tequila,1997,10.0,1997,7
Total,1997,12.9,1997,7
Tequila 100%,1997,4.0,1997,8
Tequila,1997,8.3,1997,8
Total,1997,12.3,1997,8
Tequila 100%,1997,3.8,1997,9
Tequila,1997,10.3,1997,9
Total,1997,14.1,1997,9
Tequila 100%,1997,4.9,1997,10
Tequila,1997,9.6,1997,10
Total,1997,14.5,1997,10
Tequila 100%,1997,3.6,1997,11
Tequila,1997,10.9,1997,11
Total,1997,14.5,1997,11
Tequila 100%,1997,4.1,1997,12
Tequila,1997,8.7,1997,12
Total,1997,12.8,1997,12
Tequila 100%,1998,5.0,1998,1
Tequila,1998,6.6,1998,1
Total,1998,11.6,1998,1
Tequila 100%,1998,3.9,1998,2
Tequila,1998,8.3,1998,2
Total,1998,12.2,1998,2
Tequila 100%,1998,5.3,1998,3
Tequila,1998,8.9,1998,3
Total,1998,14.1,1998,3
Tequila 100%,1998,4.4,1998,4
Tequila,1998,7.5,1998,4
Total,1998,11.9,1998,4
Tequila 100%,1998,4.4,1998,5
Tequila,1998,10.1,1998,5
Total,1998,14.4,1998,5
Tequila 100%,1998,5.4,1998,6
Tequila,1998,9.9,1998,6
Total,1998,15.3,1998,6
Tequila 100%,1998,5.1,1998,7
Tequila,1998,10.2,1998,7
Total,1998,15.3,1998,7
Tequila 100%,1998,4.8,1998,8
Tequila,1998,10.0,1998,8
Total,1998,14.8,1998,8
Tequila 100%,1998,3.7,1998,9
Tequila,1998,9.4,1998,9
Total,1998,13.1,1998,9
Tequila 100%,1998,6.1,1998,10
Tequila,1998,9.7,1998,10
Total,1998,15.7,1998,10
Tequila 100%,1998,5.1,1998,11
Tequila,1998,11.2,1998,11
Total,1998,16.3,1998,11
Tequila 100%,1998,4.9,1998,12
Tequila,1998,10.1,1998,12
Total,1998,15.0,1998,12
Tequila 100%,1999,5.1,1999,1
Tequila,1999,9.1,1999,1
Total,1999,14.2,1999,1
Tequila 100%,1999,5.1,1999,2
Tequila,1999,8.6,1999,2
Total,1999,13.7,1999,2
Tequila 100%,1999,6.3,1999,3
Tequila,1999,11.5,1999,3
Total,1999,17.8,1999,3
Tequila 100%,1999,5.7,1999,4
Tequila,1999,8.5,1999,4
Total,1999,14.2,1999,4
Tequila 100%,1999,5.6,1999,5
