Total_Pais_Mes,Total_Categoria_Mes,Litros 40 % Alc. Vol,AñoArchivo,Mes,Lag_1,Lag_12,MA_4,Month_sin,Month_cos,Categoria_TEQUILA 100% DE AGAVE,NombrePais,Clase,Fecha
5775843.63,243527.89,57004.87,1997,2,5532315.75,5829070.98,4210118.785,0.8660254037844386,0.5000000000000001,1.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-02-01
5775843.63,243527.89,41268.18,1997,2,243527.89,5829070.98,2887921.82,0.8660254037844386,0.5000000000000001,1.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-02-01
5775843.63,243527.89,1004.85,1997,2,243527.89,5829070.98,1565724.855,0.8660254037844386,0.5000000000000001,1.0,ESTADOS UNIDOS DE AMERICA,JOVEN,1997-02-01
5775843.63,243527.89,144249.99,1997,2,243527.89,5829070.98,243527.89,0.8660254037844386,0.5000000000000001,1.0,ESTADOS UNIDOS DE AMERICA,REPOSADO,1997-02-01
5346092.33,5265032.53,68191.04,1997,3,243527.89,290364.39,1498904.05,1.0,6.123233995736766e-17,0.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-03-01
5346092.33,5265032.53,1416186.06,1997,3,5265032.53,290364.39,2754280.21,1.0,6.123233995736766e-17,0.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-03-01
5346092.33,5265032.53,3780589.89,1997,3,5265032.53,290364.39,4009656.37,1.0,6.123233995736766e-17,0.0,ESTADOS UNIDOS DE AMERICA,JOVEN,1997-03-01
5346092.33,5265032.53,65.55,1997,3,5265032.53,290364.39,5265032.53,1.0,6.123233995736766e-17,0.0,ESTADOS UNIDOS DE AMERICA,REPOSADO,1997-03-01
5346092.33,81059.8,27433.3,1997,3,5265032.53,5532315.75,3969039.3475,1.0,6.123233995736766e-17,1.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-03-01
5346092.33,81059.8,11944.24,1997,3,81059.8,5532315.75,2673046.165,1.0,6.123233995736766e-17,1.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-03-01
5346092.33,81059.8,3288.6,1997,3,81059.8,5532315.75,1377052.9825000002,1.0,6.123233995736766e-17,1.0,ESTADOS UNIDOS DE AMERICA,JOVEN,1997-03-01
5346092.33,81059.8,38393.66,1997,3,81059.8,5532315.75,81059.8,1.0,6.123233995736766e-17,1.0,ESTADOS UNIDOS DE AMERICA,REPOSADO,1997-03-01
5911013.19,5745381.5,156878.49,1997,4,81059.8,243527.89,1497140.225,0.8660254037844387,-0.4999999999999998,0.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-04-01
5911013.19,5745381.5,1743879.17,1997,4,5745381.5,243527.89,2913220.6500000004,0.8660254037844387,-0.4999999999999998,0.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-04-01
5911013.19,5745381.5,3844612.13,1997,4,5745381.5,243527.89,4329301.075,0.8660254037844387,-0.4999999999999998,0.0,ESTADOS UNIDOS DE AMERICA,JOVEN,1997-04-01
5911013.19,5745381.5,11.7,1997,4,5745381.5,243527.89,5745381.5,0.8660254037844387,-0.4999999999999998,0.0,ESTADOS UNIDOS DE AMERICA,REPOSADO,1997-04-01
5911013.19,165631.69,38186.89,1997,4,5745381.5,5265032.53,4350444.047499999,0.8660254037844387,-0.4999999999999998,1.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-04-01
5911013.19,165631.69,29016.8,1997,4,165631.69,5265032.53,2955506.5949999997,0.8660254037844387,-0.4999999999999998,1.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-04-01
5911013.19,165631.69,98428.0,1997,4,165631.69,5265032.53,1560569.1425,0.8660254037844387,-0.4999999999999998,1.0,ESTADOS UNIDOS DE AMERICA,REPOSADO,1997-04-01
5821797.07,5561477.54,104623.13,1997,5,165631.69,5265032.53,1514593.1525,0.49999999999999994,-0.8660254037844387,0.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-05-01
5821797.07,5561477.54,1648312.38,1997,5,5561477.54,81059.8,2863554.615,0.49999999999999994,-0.8660254037844387,0.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-05-01
5821797.07,5561477.54,3808542.03,1997,5,5561477.54,81059.8,4212516.077500001,0.49999999999999994,-0.8660254037844387,0.0,ESTADOS UNIDOS DE AMERICA,JOVEN,1997-05-01
5821797.07,260319.52,69733.68,1997,5,5561477.54,81059.8,4236188.035,0.49999999999999994,-0.8660254037844387,1.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-05-01
5821797.07,260319.52,43080.63,1997,5,260319.52,81059.8,2910898.53,0.49999999999999994,-0.8660254037844387,1.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-05-01
5821797.07,260319.52,147505.22,1997,5,260319.52,5745381.5,1585609.025,0.49999999999999994,-0.8660254037844387,1.0,ESTADOS UNIDOS DE AMERICA,REPOSADO,1997-05-01
5601424.21,5343147.14,64908.26,1997,6,260319.52,5745381.5,1531026.4249999998,1.2246467991473532e-16,-1.0,0.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-06-01
5601424.21,5343147.14,1552560.14,1997,6,5343147.14,5745381.5,2801733.33,1.2246467991473532e-16,-1.0,0.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-06-01
5601424.21,5343147.14,3717570.44,1997,6,5343147.14,5745381.5,4072440.235,1.2246467991473532e-16,-1.0,0.0,ESTADOS UNIDOS DE AMERICA,JOVEN,1997-06-01
5601424.21,5343147.14,8108.29,1997,6,5343147.14,165631.69,5343147.14,1.2246467991473532e-16,-1.0,0.0,ESTADOS UNIDOS DE AMERICA,REPOSADO,1997-06-01
5601424.21,258277.07,116286.13,1997,6,5343147.14,165631.69,4071929.6224999996,1.2246467991473532e-16,-1.0,1.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-06-01
5601424.21,258277.07,38936.41,1997,6,258277.07,165631.69,2800712.1049999995,1.2246467991473532e-16,-1.0,1.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-06-01
5601424.21,258277.07,103054.53,1997,6,258277.07,5561477.54,1529494.5875,1.2246467991473532e-16,-1.0,1.0,ESTADOS UNIDOS DE AMERICA,REPOSADO,1997-06-01
6667423.3,6438999.04,32495.31,1997,7,258277.07,5561477.54,1803457.5625,-0.4999999999999997,-0.8660254037844388,0.0,ESTADOS UNIDOS DE AMERICA,AÑEJO,1997-07-01
6667423.3,6438999.04,2233686.1,1997,7,6438999.04,5561477.54,3348638.0549999997,-0.4999999999999997,-0.8660254037844388,0.0,ESTADOS UNIDOS DE AMERICA,BLANCO,1997-07-01
