Valor,Year,Mes
4.0,1995,1
5.2,1995,2
5.7,1995,3
3.7,1995,4
4.8,1995,5
6.3,1995,6
8.1,1995,7
8.3,1995,8
6.3,1995,9
7.9,1995,10
4.0,1995,11
10.9,1995,12
9.7,1996,1
9.9,1996,2
11.1,1996,3
10.0,1996,4
12.0,1996,5
18.0,1996,6
14.8,1996,7
16.3,1996,8
14.9,1996,9
16.6,1996,10
16.3,1996,11
17.5,1996,12
20.1,1997,1
16.4,1997,2
14.6,1997,3
19.0,1997,4
21.6,1997,5
18.7,1997,6
20.9,1997,7
22.3,1997,8
22.4,1997,9
25.0,1997,10
21.5,1997,11
23.6,1997,12
28.3,1998,1
23.3,1998,2
29.6,1998,3
25.6,1998,4
27.6,1998,5
32.5,1998,6
33.3,1998,7
34.2,1998,8
28.6,1998,9
44.4,1998,10
34.4,1998,11
33.8,1998,12
35.3,1999,1
35.5,1999,2
41.9,1999,3
36.7,1999,4
37.7,1999,5
38.0,1999,6
36.9,1999,7
37.2,1999,8
31.3,1999,9
34.1,1999,10
25.8,1999,11
22.7,1999,12
34.3,2000,1
26.7,2000,2
19.6,2000,3
14.4,2000,4
17.9,2000,5
12.9,2000,6
7.1,2000,7
15.8,2000,8
8.4,2000,9
9.4,2000,10
11.1,2000,11
9.2,2000,12
19.2,2001,1
10.5,2001,2
15.3,2001,3
11.7,2001,4
13.6,2001,5
11.1,2001,6
12.7,2001,7
9.2,2001,8
10.4,2001,9
14.9,2001,10
14.1,2001,11
8.1,2001,12
9.2,2002,1
12.6,2002,2
15.8,2002,3
17.0,2002,4
14.6,2002,5
14.0,2002,6
9.8,2002,7
8.9,2002,8
8.8,2002,9
13.6,2002,10
11.3,2002,11
10.8,2002,12
16.2,2003,1
16.6,2003,2
18.1,2003,3
15.7,2003,4
18.7,2003,5
11.8,2003,6
6.2,2003,7
12.7,2003,8
15.8,2003,9
14.4,2003,10
14.9,2003,11
12.6,2003,12
14.2,2004,1
11.7,2004,2
21.4,2004,3
17.7,2004,4
22.9,2004,5
17.0,2004,6
19.0,2004,7
21.5,2004,8
18.5,2004,9
21.5,2004,10
18.4,2004,11
18.0,2004,12
26.2,2005,1
26.7,2005,2
26.6,2005,3
37.9,2005,4
34.5,2005,5
36.1,2005,6
24.3,2005,7
28.2,2005,8
35.2,2005,9
28.0,2005,10
32.8,2005,11
19.3,2005,12
24.3,2006,1
34.7,2006,2
39.3,2006,3
29.2,2006,4
35.8,2006,5
42.5,2006,6
39.2,2006,7
34.6,2006,8
32.6,2006,9
41.6,2006,10
35.3,2006,11
23.0,2006,12
44.2,2007,1
51.0,2007,2
63.3,2007,3
52.0,2007,4
69.4,2007,5
61.5,2007,6
60.4,2007,7
55.5,2007,8
45.8,2007,9
66.7,2007,10
67.3,2007,11
48.5,2007,12
68.0,2008,1
72.8,2008,2
58.8,2008,3
80.3,2008,4
70.6,2008,5
60.7,2008,6
60.5,2008,7
56.0,2008,8
50.8,2008,9
76.4,2008,10
63.7,2008,11
51.6,2008,12
53.6,2009,1
51.5,2009,2
70.0,2009,3
42.5,2009,4
45.2,2009,5
52.9,2009,6
64.7,2009,7
57.9,2009,8
74.2,2009,9
60.5,2009,10
53.3,2009,11
37.6,2009,12
43.4,2010,1
43.2,2010,2
62.8,2010,3
61.1,2010,4
69.5,2010,5
66.8,2010,6
79.6,2010,7
65.7,2010,8
56.1,2010,9
60.9,2010,10
66.1,2010,11
50.6,2010,12
48.6,2011,1
49.2,2011,2
72.9,2011,3
57.9,2011,4
63.7,2011,5
62.3,2011,6
63.4,2011,7
53.7,2011,8
59.4,2011,9
63.0,2011,10
61.8,2011,11
62.9,2011,12
44.4,2012,1
47.6,2012,2
57.9,2012,3
45.6,2012,4
49.7,2012,5
39.6,2012,6
40.5,2012,7
48.1,2012,8
35.4,2012,9
42.8,2012,10
58.9,2012,11
32.5,2012,12
30.1,2013,1
36.7,2013,2
36.5,2013,3
37.4,2013,4
48.6,2013,5
41.2,2013,6
45.3,2013,7
45.1,2013,8
36.4,2013,9
31.9,2013,10
38.9,2013,11
36.8,2013,12
37.0,2014,1
32.6,2014,2
39.7,2014,3
39.6,2014,4
45.7,2014,5
47.5,2014,6
47.5,2014,7
37.8,2014,8
38.5,2014,9
42.9,2014,10
43.4,2014,11
23.6,2014,12
29.6,2015,1
46.3,2015,2
42.8,2015,3
34.7,2015,4
48.6,2015,5
42.4,2015,6
49.3,2015,7
45.5,2015,8
39.5,2015,9
54.5,2015,10
45.0,2015,11
40.6,2015,12
58.6,2016,1
52.7,2016,2
54.1,2016,3
66.3,2016,4
56.5,2016,5
44.8,2016,6
