Valor,Year,Mes
14.0,1995,1
18.2,1995,2
18.0,1995,3
12.3,1995,4
15.0,1995,5
16.1,1995,6
17.9,1995,7
17.8,1995,8
16.7,1995,9
22.0,1995,10
20.9,1995,11
14.4,1995,12
19.6,1996,1
18.8,1996,2
23.9,1996,3
22.0,1996,4
18.9,1996,5
19.1,1996,6
25.5,1996,7
24.3,1996,8
19.9,1996,9
24.4,1996,10
25.7,1996,11
20.3,1996,12
20.3,1997,1
22.4,1997,2
24.6,1997,3
23.8,1997,4
23.7,1997,5
21.0,1997,6
21.9,1997,7
21.4,1997,8
24.5,1997,9
27.2,1997,10
26.4,1997,11
18.8,1997,12
17.7,1998,1
21.3,1998,2
21.7,1998,3
18.7,1998,4
26.7,1998,5
25.3,1998,6
24.9,1998,7
28.7,1998,8
26.5,1998,9
27.9,1998,10
30.6,1998,11
26.4,1998,12
25.4,1999,1
24.2,1999,2
31.2,1999,3
24.0,1999,4
29.4,1999,5
28.9,1999,6
32.0,1999,7
33.3,1999,8
31.9,1999,9
34.4,1999,10
37.0,1999,11
35.4,1999,12
31.1,2000,1
37.2,2000,2
42.0,2000,3
33.8,2000,4
37.1,2000,5
31.5,2000,6
30.6,2000,7
35.5,2000,8
39.6,2000,9
41.3,2000,10
39.0,2000,11
29.6,2000,12
29.0,2001,1
26.0,2001,2
25.9,2001,3
19.4,2001,4
32.4,2001,5
29.0,2001,6
23.6,2001,7
19.1,2001,8
14.7,2001,9
21.2,2001,10
27.7,2001,11
24.5,2001,12
28.6,2002,1
20.6,2002,2
18.5,2002,3
19.0,2002,4
22.4,2002,5
24.1,2002,6
25.2,2002,7
24.5,2002,8
21.4,2002,9
22.8,2002,10
24.5,2002,11
16.2,2002,12
13.6,2003,1
18.5,2003,2
19.4,2003,3
13.6,2003,4
15.0,2003,5
18.6,2003,6
21.4,2003,7
22.2,2003,8
22.6,2003,9
31.7,2003,10
24.8,2003,11
17.8,2003,12
21.1,2004,1
28.0,2004,2
26.5,2004,3
24.4,2004,4
23.0,2004,5
26.5,2004,6
26.0,2004,7
21.3,2004,8
27.1,2004,9
28.1,2004,10
31.9,2004,11
24.6,2004,12
31.4,2005,1
35.9,2005,2
29.7,2005,3
26.3,2005,4
29.4,2005,5
28.7,2005,6
26.8,2005,7
27.1,2005,8
22.0,2005,9
26.5,2005,10
29.4,2005,11
19.9,2005,12
23.7,2006,1
23.8,2006,2
28.9,2006,3
18.2,2006,4
31.1,2006,5
29.1,2006,6
36.9,2006,7
36.8,2006,8
38.8,2006,9
35.0,2006,10
36.8,2006,11
27.1,2006,12
23.8,2007,1
26.0,2007,2
31.1,2007,3
22.9,2007,4
33.8,2007,5
34.5,2007,6
35.6,2007,7
39.7,2007,8
40.5,2007,9
36.6,2007,10
29.6,2007,11
14.6,2007,12
20.9,2008,1
27.9,2008,2
22.9,2008,3
25.5,2008,4
25.8,2008,5
20.8,2008,6
39.4,2008,7
38.8,2008,8
33.8,2008,9
37.3,2008,10
39.6,2008,11
22.4,2008,12
21.2,2009,1
33.0,2009,2
19.5,2009,3
19.2,2009,4
23.0,2009,5
15.3,2009,6
22.2,2009,7
23.0,2009,8
12.3,2009,9
22.6,2009,10
22.6,2009,11
27.0,2009,12
24.8,2010,1
26.1,2010,2
30.2,2010,3
26.0,2010,4
24.5,2010,5
30.4,2010,6
19.9,2010,7
21.6,2010,8
27.9,2010,9
21.6,2010,10
16.0,2010,11
20.2,2010,12
23.1,2011,1
24.1,2011,2
23.8,2011,3
19.2,2011,4
27.1,2011,5
25.9,2011,6
18.2,2011,7
25.8,2011,8
27.0,2011,9
22.9,2011,10
26.0,2011,11
16.2,2011,12
26.8,2012,1
30.0,2012,2
32.5,2012,3
20.5,2012,4
31.4,2012,5
35.8,2012,6
37.7,2012,7
16.5,2012,8
31.2,2012,9
35.9,2012,10
16.8,2012,11
22.4,2012,12
26.7,2013,1
25.9,2013,2
23.9,2013,3
27.4,2013,4
18.6,2013,5
27.6,2013,6
28.4,2013,7
26.3,2013,8
19.0,2013,9
28.7,2013,10
25.9,2013,11
13.5,2013,12
26.5,2014,1
33.6,2014,2
31.3,2014,3
27.6,2014,4
33.8,2014,5
24.9,2014,6
21.4,2014,7
29.7,2014,8
22.6,2014,9
15.5,2014,10
22.5,2014,11
22.8,2014,12
30.6,2015,1
13.7,2015,2
25.1,2015,3
26.3,2015,4
23.2,2015,5
28.5,2015,6
23.6,2015,7
24.8,2015,8
19.8,2015,9
19.3,2015,10
26.1,2015,11
9.0,2015,12
14.4,2016,1
27.9,2016,2
26.7,2016,3
21.4,2016,4
25.7,2016,5
30.7,2016,6
20.2,2016,7
14.7,2016,8
23.5,2016,9
28.5,2016,10
18.8,2016,11
25.6,2016,12
18.1,2017,1
24.5,2017,2
26.4,2017,3
22.8,2017,4
24.2,2017,5
16.4,2017,6
20.2,2017,7
27.0,2017,8
19.8,2017,9
24.5,2017,10
23.4,2017,11
17.1,2017,12
31.2,2018,1
30.6,2018,2
30.1,2018,3
24.2,2018,4
24.1,2018,5
26.6,2018,6
36.0,2018,7
34.9,2018,8
27.7,2018,9
24.5,2018,10
16.8,2018,11
16.9,2018,12
19.5,2019,1
