Valor,Year,Mes
290364.39,1997,1
243527.89,1997,2
81059.8,1997,3
165631.69,1997,4
260319.52,1997,5
258277.07,1997,6
228424.27,1997,7
304444.36,1997,8
267353.32,1997,9
408398.07,1997,10
263347.71,1997,11
181874.85,1997,12
358436.64,1998,1
298370.15,1998,2
520345.91,1998,3
329299.25,1998,4
322094.01,1998,5
351792.8,1998,6
364774.4,1998,7
461505.55,1998,8
430009.65,1998,9
396554.63,1998,10
481788.41,1998,11
296864.84,1998,12
289395.14,1999,1
394279.45,1999,2
453435.69,1999,3
550743.31,1999,4
465582.4,1999,5
555269.03,1999,6
539875.05,1999,7
496961.96,1999,8
684728.12,1999,9
725695.55,1999,10
586266.71,1999,11
691026.3,1999,12
438073.89,2000,1
422333.57,2000,2
684333.83,2000,3
684895.83,2000,4
713978.91,2000,5
543731.65,2000,6
520496.38,2000,7
560809.05,2000,8
821530.15,2000,9
615790.63,2000,10
647283.19,2000,11
661544.61,2000,12
365490.85,2001,1
645431.01,2001,2
549583.5,2001,3
375151.08,2001,4
721733.97,2001,5
589856.23,2001,6
523251.52,2001,7
521242.8,2001,8
452296.17,2001,9
628080.02,2001,10
751267.45,2001,11
379773.8,2001,12
489547.44,2002,1
614413.57,2002,2
534422.28,2002,3
565339.02,2002,4
380777.4,2002,5
386837.44,2002,6
801894.21,2002,7
782263.43,2002,8
710487.22,2002,9
1027964.23,2002,10
828754.3,2002,11
523513.83,2002,12
614878.46,2003,1
894843.88,2003,2
1165672.02,2003,3
805793.08,2003,4
550297.13,2003,5
582191.81,2003,6
769071.38,2003,7
732915.21,2003,8
1138007.8,2003,9
991641.83,2003,10
758320.6,2003,11
741470.74,2003,12
804908.41,2004,1
895889.15,2004,2
1021821.5,2004,3
1457218.53,2004,4
1098387.23,2004,5
1227601.53,2004,6
1308889.7,2004,7
1037072.54,2004,8
1543406.69,2004,9
1240172.77,2004,10
1441244.5,2004,11
968250.51,2004,12
1245620.6,2005,1
1899320.5,2005,2
1625878.87,2005,3
1598523.75,2005,4
1386381.02,2005,5
2064096.4,2005,6
1807634.34,2005,7
1404554.9,2005,8
1992722.25,2005,9
1944484.24,2005,10
1906442.29,2005,11
1308310.88,2005,12
2200841.55,2006,1
2229802.98,2006,2
2550155.1,2006,3
1979855.98,2006,4
2515422.42,2006,5
2144576.03,2006,6
2140474.84,2006,7
2437494.22,2006,8
1846446.76,2006,9
1979038.72,2006,10
2096423.37,2006,11
1372547.21,2006,12
2878694.03,2007,1
2168203.54,2007,2
2524264.0,2007,3
1983278.45,2007,4
2800039.83,2007,5
3705543.22,2007,6
2453838.6,2007,7
2522596.25,2007,8
2983816.22,2007,9
2921609.65,2007,10
3258210.29,2007,11
1861747.05,2007,12
2687424.6,2008,1
2039504.33,2008,2
2339022.6,2008,3
2517831.17,2008,4
3483319.35,2008,5
3491403.9,2008,6
2827248.6,2008,7
2872174.43,2008,8
3423585.13,2008,9
3112804.78,2008,10
2755931.04,2008,11
2225742.85,2008,12
2198500.2,2009,1
2276303.7,2009,2
2797045.05,2009,3
3410247.65,2009,4
2746137.08,2009,5
3034654.75,2009,6
3396960.38,2009,7
2878247.18,2009,8
4123736.05,2009,9
3210352.93,2009,10
2699904.9,2009,11
1835833.98,2009,12
3216031.51,2010,1
2857395.84,2010,2
3536580.89,2010,3
3717869.45,2010,4
3760628.6,2010,5
3988114.06,2010,6
4144910.69,2010,7
4031383.32,2010,8
4036369.24,2010,9
4038137.46,2010,10
4485452.3,2010,11
2939181.55,2010,12
3691342.77,2011,1
3548325.43,2011,2
4905756.69,2011,3
4379208.49,2011,4
4923948.65,2011,5
3914965.32,2011,6
4276560.81,2011,7
4820420.14,2011,8
4969839.63,2011,9
4780398.15,2011,10
4319604.45,2011,11
2810901.88,2011,12
3593462.19,2012,1
4248220.7,2012,2
4577688.63,2012,3
4549766.2,2012,4
5523697.86,2012,5
4587051.14,2012,6
4566469.48,2012,7
3861714.45,2012,8
4478086.11,2012,9
5584430.53,2012,10
5912002.8,2012,11
3550519.05,2012,12
3965115.44,2013,1
4631512.48,2013,2
4121005.01,2013,3
5413450.29,2013,4
6234546.5,2013,5
4472722.66,2013,6
4822800.88,2013,7
4509329.4,2013,8
4536615.26,2013,9
5360073.29,2013,10
5179699.85,2013,11
3790573.53,2013,12
5005244.16,2014,1
4188375.59,2014,2
5377374.79,2014,3
6309846.32,2014,4
5848648.61,2014,5
5249771.05,2014,6
5201766.79,2014,7
5453198.64,2014,8
5896214.96,2014,9
5603790.0,2014,10
6060877.88,2014,11
5049984.58,2014,12
5177612.49,2015,1
4842679.91,2015,2
6484840.26,2015,3
6216719.92,2015,4
5349193.6,2015,5
5693650.14,2015,6
6742527.48,2015,7
5935548.86,2015,8
6784075.21,2015,9
6320983.11,2015,10
6504823.86,2015,11
4843995.19,2015,12
5131407.81,2016,1
6159533.44,2016,2
7513473.58,2016,3
6942429.12,2016,4
7665389.1,2016,5
6274101.64,2016,6
7262019.57,2016,7
7754277.97,2016,8
6744618.61,2016,9
5795559.15,2016,10
7760506.78,2016,11
5996917.27,2016,12
6292994.11,2017,1
6865299.99,2017,2
8014333.32,2017,3
7426585.32,2017,4
8028041.72,2017,5
8038106.62,2017,6
7694277.9,2017,7
7663438.24,2017,8
8618413.55,2017,9
9032727.96,2017,10
8098325.39,2017,11
5472511.36,2017,12
7326946.86,2018,1
7982620.97,2018,2
9110597.29,2018,3
9412201.9,2018,4
9484251.81,2018,5
9240512.4,2018,6
8431592.74,2018,7
9985985.36,2018,8
9552714.06,2018,9
8701077.76,2018,10
8577250.41,2018,11
7243518.78,2018,12
7822410.44,2019,1
10291628.42,2019,2
9561648.41,2019,3
9823986.73,2019,4
10797986.97,2019,5
10513721.23,2019,6
10331229.19,2019,7
9064836.85,2019,8
10438733.02,2019,9
10867723.68,2019,10
10453356.58,2019,11
7807629.73,2019,12
9965216.87,2020,1
10843341.31,2020,2
12933912.44,2020,3
11992291.38,2020,4
8378214.1,2020,5
11448444.71,2020,6
13955713.97,2020,7
14679500.67,2020,8
14505600.45,2020,9
15672202.29,2020,10
15764991.37,2020,11
13614574.21,2020,12
12159277.23,2021,1
14305467.26,2021,2
15649304.65,2021,3
15411942.5,2021,4
15917356.94,2021,5
18096167.95,2021,6
17142709.37,2021,7
17035915.49,2021,8
16986909.78,2021,9
17286723.35,2021,10
18763313.59,2021,11
15344027.82,2021,12
14943303.09,2022,1
18560767.4,2022,2
20665706.26,2022,3
18735181.3,2022,4
23438836.16,2022,5
22496767.33,2022,6
20691653.79,2022,7
21975006.79,2022,8
18847847.25,2022,9
20852986.93,2022,10
20324089.87,2022,11
17251796.45,2022,12
17014984.13,2023,1
17629722.39,2023,2
21540981.53,2023,3
19316433.93,2023,4
23573972.55,2023,5
20225376.04,2023,6
18478000.68,2023,7
21520858.15,2023,8
17712850.43,2023,9
22235241.32,2023,10
20670751.55,2023,11
14359216.66,2023,12
16845817.08,2024,1
18983391.7,2024,2
17822932.84,2024,3
22890575.25,2024,4
23317224.69,2024,5
18500092.72,2024,6
22636928.57,2024,7
21327144.04,2024,8
20150558.01,2024,9
24585494.7,2024,10
21970446.43,2024,11
19201923.92,2024,12
25546119.21,2025,1
828754.3,2025,2
1308310.88,2025,3
