Valor,Year,Mes
5829070.98,1997,1
5532315.75,1997,2
5265032.53,1997,3
5745381.5,1997,4
5561477.54,1997,5
5343147.14,1997,6
6438999.04,1997,7
7413700.62,1997,8
6327083.61,1997,9
4489780.85,1997,10
4582553.86,1997,11
3290445.72,1997,12
3867858.68,1998,1
5185211.01,1998,2
4904563.52,1998,3
5132437.2,1998,4
5843281.91,1998,5
7769364.87,1998,6
5559087.11,1998,7
5559552.79,1998,8
5553611.35,1998,9
5341305.28,1998,10
5565778.98,1998,11
4427260.65,1998,12
5975924.96,1999,1
3476200.48,1999,2
5448661.02,1999,3
5073124.51,1999,4
7181051.72,1999,5
7406257.2,1999,6
6867426.13,1999,7
6808998.68,1999,8
7414884.37,1999,9
5684751.19,1999,10
5035580.12,1999,11
5271925.07,1999,12
6366080.23,2000,1
6229551.28,2000,2
6380178.89,2000,3
5794715.59,2000,4
6910461.79,2000,5
6136804.78,2000,6
4746153.07,2000,7
8038544.79,2000,8
5502497.73,2000,9
7033556.89,2000,10
7479055.51,2000,11
4740608.33,2000,12
3326506.98,2001,1
3746258.78,2001,2
5754635.87,2001,3
6283702.7,2001,4
3717785.24,2001,5
3541961.24,2001,6
5509765.8,2001,7
3347301.0,2001,8
4054615.26,2001,9
5067571.77,2001,10
4258275.33,2001,11
3515495.84,2001,12
5040608.2,2002,1
3943225.77,2002,2
4637508.45,2002,3
4965953.69,2002,4
7309847.88,2002,5
4911995.94,2002,6
7271236.31,2002,7
5521194.51,2002,8
5179118.31,2002,9
6226733.57,2002,10
4990450.92,2002,11
2222149.38,2002,12
5658069.32,2003,1
5599098.16,2003,2
6037122.89,2003,3
7143434.87,2003,4
6397939.0,2003,5
6666955.64,2003,6
6149606.37,2003,7
4422795.2,2003,8
5697236.59,2003,9
7027378.5,2003,10
5448758.87,2003,11
3901072.78,2003,12
5658635.82,2004,1
4990384.66,2004,2
6381377.31,2004,3
6603832.48,2004,4
6246197.06,2004,5
7257598.82,2004,6
4935229.15,2004,7
4579180.34,2004,8
5505696.87,2004,9
4626095.49,2004,10
7053011.3,2004,11
4149457.17,2004,12
4827127.48,2005,1
4478945.45,2005,2
5770536.55,2005,3
5574606.77,2005,4
6444852.77,2005,5
6923601.28,2005,6
6032631.42,2005,7
5212898.69,2005,8
5900870.36,2005,9
4724789.56,2005,10
6466697.8,2005,11
1671244.26,2005,12
7652746.19,2006,1
6367218.08,2006,2
6498306.61,2006,3
7373226.37,2006,4
7967996.45,2006,5
5173859.75,2006,6
7186474.32,2006,7
7776885.72,2006,8
6285835.08,2006,9
8087427.28,2006,10
6574962.92,2006,11
5322457.29,2006,12
6903361.57,2007,1
6243061.6,2007,2
7254277.01,2007,3
5012063.37,2007,4
5605557.08,2007,5
4149589.71,2007,6
8359837.36,2007,7
8065644.07,2007,8
4778281.26,2007,9
5857350.49,2007,10
5159499.36,2007,11
3830060.14,2007,12
6107114.72,2008,1
7193630.09,2008,2
5530650.46,2008,3
7083844.01,2008,4
6357196.72,2008,5
6809645.96,2008,6
6290442.5,2008,7
6416007.32,2008,8
5451484.99,2008,9
7316080.84,2008,10
6059934.23,2008,11
3905062.83,2008,12
5460797.21,2009,1
5106850.18,2009,2
6715163.03,2009,3
8005444.94,2009,4
6580350.1,2009,5
7397349.78,2009,6
6707037.09,2009,7
6328145.34,2009,8
6498528.71,2009,9
5813656.19,2009,10
4842120.61,2009,11
3811485.43,2009,12
4722963.08,2010,1
