NombrePais,Total_Pais_Mes,Categoria,Total_Categoria_Mes,Clase,Litros 40 % Alc. Vol,AñoArchivo,Mes
VENEZUELA,5400.01,TEQUILA,5400.01,JOVEN,900.01,2000,12
REPUBLICA DOMINICANA,50326.45,TEQUILA 100% DE AGAVE,15504.55,AÑEJO,2420.77,2025,1
EL SALVADOR,33295.71,TEQUILA,20511.6,REPOSADO,11047.5,2020,11
PUERTO RICO,98813.25,TEQUILA,58143.0,BLANCO,39588.0,2023,3
NIGERIA,61833.6,TEQUILA,61833.6,BLANCO,55951.2,2023,10
PARAGUAY,18874.94,TEQUILA 100% DE AGAVE,356.54,REPOSADO,356.54,2007,3
HONDURAS,34489.41,TEQUILA 100% DE AGAVE,27539.61,BLANCO,3919.5,2023,4
PANAMA,145298.93,TEQUILA 100% DE AGAVE,133150.13,REPOSADO,36739.05,2023,7
ECUADOR,168926.95,TEQUILA 100% DE AGAVE,1395.79,REPOSADO,196.09,2021,11
BOLIVIA,8970.6,TEQUILA 100% DE AGAVE,900.0,REPOSADO,900.0,2012,7
ESTONIA,10314.99,TEQUILA 100% DE AGAVE,2079.63,AÑEJO,55.86,2023,12
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,421843.42,TEQUILA 100% DE AGAVE,191595.79,BLANCO,147378.51,2024,5
GUATEMALA,17524.86,TEQUILA 100% DE AGAVE,2973.96,REPOSADO,2965.41,2011,10
PUERTO RICO,18427.5,TEQUILA,17280.0,BLANCO,5184.0,2009,7
CHINA,2485.5,TEQUILA,2480.25,BLANCO,1796.25,2007,11
BRASIL,20227.49,TEQUILA 100% DE AGAVE,450.0,AÑEJO,450.0,1999,8
ESPAÑA,47966.66,TEQUILA,47966.66,REPOSADO,171.0,1998,4
SINGAPUR,34601.55,TEQUILA 100% DE AGAVE,28855.95,AÑEJO,3291.9,2015,3
JAPON,56647.5,TEQUILA 100% DE AGAVE,463.5,REPOSADO,319.5,2010,11
ITALIA,53022.9,TEQUILA 100% DE AGAVE,10298.4,BLANCO,5476.8,2011,3
COREA DEL SUR,12329.99,TEQUILA 100% DE AGAVE,7290.0,REPOSADO,45.0,2006,10
LIBANO,7469.28,TEQUILA 100% DE AGAVE,4021.92,BLANCO,1340.64,2020,10
COREA DEL SUR,18287.88,TEQUILA 100% DE AGAVE,2145.0,AÑEJO,330.0,2008,9
