Valor,Year,Mes
0.1,1995,1
0.1,1995,2
0.1,1995,3
0.1,1995,4
0.1,1995,5
0.1,1995,6
0.1,1995,7
0.1,1995,8
0.1,1995,9
0.2,1995,10
0.1,1995,11
0.1,1995,12
0.1,1996,1
0.2,1996,2
0.1,1996,3
0.1,1996,4
0.2,1996,5
0.1,1996,6
0.2,1996,7
0.2,1996,8
0.1,1996,9
0.2,1996,10
0.2,1996,11
0.2,1996,12
0.3,1997,1
0.3,1997,2
0.1,1997,3
0.2,1997,4
0.3,1997,5
0.3,1997,6
0.2,1997,7
0.3,1997,8
0.3,1997,9
0.5,1997,10
0.3,1997,11
0.2,1997,12
0.4,1998,1
0.3,1998,2
0.6,1998,3
0.4,1998,4
0.4,1998,5
0.4,1998,6
0.4,1998,7
0.5,1998,8
0.5,1998,9
0.4,1998,10
0.6,1998,11
0.3,1998,12
0.3,1999,1
0.4,1999,2
0.5,1999,3
0.6,1999,4
0.5,1999,5
0.6,1999,6
0.6,1999,7
0.6,1999,8
0.7,1999,9
0.8,1999,10
0.7,1999,11
0.8,1999,12
0.5,2000,1
0.5,2000,2
0.8,2000,3
0.8,2000,4
0.8,2000,5
0.6,2000,6
0.6,2000,7
0.6,2000,8
0.9,2000,9
0.7,2000,10
0.7,2000,11
0.7,2000,12
0.4,2001,1
0.7,2001,2
0.6,2001,3
0.4,2001,4
0.7,2001,5
0.6,2001,6
0.6,2001,7
0.6,2001,8
0.5,2001,9
0.7,2001,10
0.8,2001,11
0.4,2001,12
0.5,2002,1
0.7,2002,2
0.6,2002,3
0.7,2002,4
0.4,2002,5
0.4,2002,6
0.8,2002,7
0.8,2002,8
0.7,2002,9
1.0,2002,10
0.8,2002,11
0.5,2002,12
0.8,2003,1
1.0,2003,2
1.3,2003,3
1.0,2003,4
0.7,2003,5
0.8,2003,6
0.9,2003,7
1.0,2003,8
1.3,2003,9
1.2,2003,10
0.9,2003,11
0.9,2003,12
0.9,2004,1
1.0,2004,2
1.2,2004,3
1.6,2004,4
1.3,2004,5
1.3,2004,6
1.5,2004,7
1.3,2004,8
1.7,2004,9
1.3,2004,10
1.5,2004,11
1.1,2004,12
1.3,2005,1
2.0,2005,2
1.7,2005,3
1.7,2005,4
1.5,2005,5
2.2,2005,6
1.9,2005,7
1.5,2005,8
2.1,2005,9
2.1,2005,10
2.0,2005,11
1.4,2005,12
2.3,2006,1
2.3,2006,2
2.7,2006,3
2.1,2006,4
2.6,2006,5
2.3,2006,6
2.3,2006,7
2.6,2006,8
2.0,2006,9
2.1,2006,10
2.2,2006,11
1.6,2006,12
3.0,2007,1
2.3,2007,2
2.7,2007,3
2.1,2007,4
2.9,2007,5
3.8,2007,6
2.6,2007,7
2.7,2007,8
3.1,2007,9
3.2,2007,10
3.5,2007,11
2.1,2007,12
2.9,2008,1
2.3,2008,2
2.4,2008,3
2.7,2008,4
3.7,2008,5
3.7,2008,6
3.0,2008,7
3.1,2008,8
3.5,2008,9
3.2,2008,10
2.9,2008,11
2.4,2008,12
2.4,2009,1
2.4,2009,2
3.0,2009,3
3.6,2009,4
2.9,2009,5
3.3,2009,6
3.7,2009,7
3.1,2009,8
4.4,2009,9
3.5,2009,10
3.0,2009,11
2.1,2009,12
3.4,2010,1
3.1,2010,2
3.8,2010,3
4.0,2010,4
4.0,2010,5
4.2,2010,6
4.4,2010,7
4.3,2010,8
4.3,2010,9
4.4,2010,10
4.8,2010,11
3.2,2010,12
4.0,2011,1
3.9,2011,2
5.3,2011,3
4.8,2011,4
5.3,2011,5
4.3,2011,6
4.7,2011,7
5.3,2011,8
5.3,2011,9
5.1,2011,10
4.7,2011,11
3.1,2011,12
3.9,2012,1
4.6,2012,2
5.0,2012,3
5.0,2012,4
6.0,2012,5
5.1,2012,6
5.2,2012,7
4.7,2012,8
5.0,2012,9
6.2,2012,10
6.4,2012,11
4.0,2012,12
4.5,2013,1
5.1,2013,2
4.5,2013,3
5.9,2013,4
6.8,2013,5
5.0,2013,6
5.3,2013,7
5.0,2013,8
5.1,2013,9
5.9,2013,10
5.7,2013,11
4.2,2013,12
5.6,2014,1
4.7,2014,2
6.1,2014,3
6.8,2014,4
6.6,2014,5
5.8,2014,6
5.8,2014,7
6.0,2014,8
6.6,2014,9
6.3,2014,10
6.8,2014,11
5.7,2014,12
5.8,2015,1
5.4,2015,2
7.1,2015,3
6.7,2015,4
6.0,2015,5
6.2,2015,6
7.4,2015,7
6.6,2015,8
7.5,2015,9
6.9,2015,10
7.0,2015,11
5.3,2015,12
5.8,2016,1
6.8,2016,2
8.1,2016,3
7.7,2016,4
8.3,2016,5
7.0,2016,6
8.0,2016,7
8.4,2016,8
7.5,2016,9
6.6,2016,10
8.4,2016,11
6.6,2016,12
7.0,2017,1
7.9,2017,2
8.9,2017,3
8.2,2017,4
8.9,2017,5
9.0,2017,6
8.5,2017,7
8.6,2017,8
9.4,2017,9
10.1,2017,10
8.8,2017,11
6.1,2017,12
8.2,2018,1
8.7,2018,2
10.0,2018,3
10.3,2018,4
10.4,2018,5
10.0,2018,6
9.3,2018,7
10.8,2018,8
10.5,2018,9
9.7,2018,10
9.5,2018,11
8.0,2018,12
8.7,2019,1
11.2,2019,2
