Valor,Year,Mes
5.4,1995,1
4.4,1995,2
6.9,1995,3
4.2,1995,4
6.0,1995,5
5.0,1995,6
5.7,1995,7
6.9,1995,8
6.6,1995,9
4.6,1995,10
4.4,1995,11
3.3,1995,12
6.6,1996,1
5.1,1996,2
6.0,1996,3
5.8,1996,4
6.6,1996,5
5.7,1996,6
6.1,1996,7
8.2,1996,8
7.1,1996,9
6.3,1996,10
5.5,1996,11
4.4,1996,12
6.8,1997,1
6.6,1997,2
6.5,1997,3
7.1,1997,4
6.7,1997,5
6.6,1997,6
7.8,1997,7
8.6,1997,8
7.7,1997,9
6.5,1997,10
5.6,1997,11
4.6,1997,12
5.1,1998,1
6.3,1998,2
6.7,1998,3
6.4,1998,4
7.4,1998,5
9.2,1998,6
6.9,1998,7
6.8,1998,8
6.9,1998,9
7.4,1998,10
6.9,1998,11
5.5,1998,12
6.9,1999,1
4.6,1999,2
7.7,1999,3
6.3,1999,4
8.5,1999,5
9.1,1999,6
8.0,1999,7
8.3,1999,8
8.9,1999,9
8.0,1999,10
7.8,1999,11
6.1,1999,12
7.5,2000,1
7.4,2000,2
8.2,2000,3
6.9,2000,4
8.6,2000,5
7.5,2000,6
6.0,2000,7
9.2,2000,8
6.9,2000,9
8.1,2000,10
8.8,2000,11
5.6,2000,12
4.8,2001,1
4.6,2001,2
7.7,2001,3
7.4,2001,4
4.8,2001,5
4.6,2001,6
7.0,2001,7
5.0,2001,8
5.2,2001,9
6.9,2001,10
5.9,2001,11
4.8,2001,12
5.7,2002,1
5.2,2002,2
6.0,2002,3
7.0,2002,4
8.9,2002,5
6.7,2002,6
9.2,2002,7
6.9,2002,8
7.0,2002,9
7.4,2002,10
6.1,2002,11
3.9,2002,12
7.6,2003,1
7.0,2003,2
7.9,2003,3
8.2,2003,4
8.2,2003,5
8.7,2003,6
8.2,2003,7
6.2,2003,8
7.2,2003,9
8.9,2003,10
6.6,2003,11
5.2,2003,12
6.8,2004,1
6.4,2004,2
8.1,2004,3
8.4,2004,4
8.5,2004,5
9.4,2004,6
7.3,2004,7
7.2,2004,8
8.5,2004,9
7.3,2004,10
9.6,2004,11
6.1,2004,12
7.1,2005,1
7.0,2005,2
8.3,2005,3
8.6,2005,4
9.2,2005,5
10.1,2005,6
9.4,2005,7
7.8,2005,8
7.9,2005,9
7.5,2005,10
9.1,2005,11
3.8,2005,12
9.2,2006,1
8.7,2006,2
9.0,2006,3
9.9,2006,4
10.6,2006,5
7.3,2006,6
9.9,2006,7
11.0,2006,8
9.2,2006,9
12.1,2006,10
9.3,2006,11
6.9,2006,12
9.1,2007,1
8.7,2007,2
9.5,2007,3
7.1,2007,4
8.1,2007,5
7.2,2007,6
11.7,2007,7
11.0,2007,8
7.0,2007,9
8.8,2007,10
7.8,2007,11
5.0,2007,12
8.3,2008,1
9.2,2008,2
7.9,2008,3
9.6,2008,4
8.8,2008,5
9.2,2008,6
8.7,2008,7
8.5,2008,8
8.0,2008,9
10.3,2008,10
8.2,2008,11
5.1,2008,12
7.6,2009,1
6.8,2009,2
8.6,2009,3
9.9,2009,4
8.0,2009,5
9.8,2009,6
8.8,2009,7
8.4,2009,8
8.7,2009,9
8.1,2009,10
7.5,2009,11
6.7,2009,12
6.8,2010,1
7.3,2010,2
9.0,2010,3
10.7,2010,4
8.0,2010,5
11.5,2010,6
7.6,2010,7
8.3,2010,8
11.2,2010,9
8.9,2010,10
9.8,2010,11
5.4,2010,12
8.1,2011,1
8.1,2011,2
10.3,2011,3
8.3,2011,4
10.5,2011,5
9.1,2011,6
11.4,2011,7
9.8,2011,8
8.7,2011,9
8.4,2011,10
8.0,2011,11
7.3,2011,12
8.8,2012,1
9.2,2012,2
10.3,2012,3
10.9,2012,4
9.3,2012,5
10.1,2012,6
10.0,2012,7
7.4,2012,8
7.3,2012,9
9.1,2012,10
7.1,2012,11
6.0,2012,12
8.4,2013,1
9.1,2013,2
7.9,2013,3
11.9,2013,4
13.8,2013,5
8.0,2013,6
11.5,2013,7
9.0,2013,8
7.2,2013,9
7.6,2013,10
7.9,2013,11
6.6,2013,12
5.7,2014,1
7.5,2014,2
8.4,2014,3
9.7,2014,4
11.1,2014,5
10.6,2014,6
11.8,2014,7
9.7,2014,8
7.3,2014,9
6.6,2014,10
5.2,2014,11
6.2,2014,12
7.8,2015,1
9.2,2015,2
9.5,2015,3
10.2,2015,4
11.3,2015,5
11.0,2015,6
9.7,2015,7
7.8,2015,8
7.6,2015,9
6.6,2015,10
7.6,2015,11
6.7,2015,12
8.1,2016,1
9.2,2016,2
9.7,2016,3
10.2,2016,4
11.7,2016,5
9.2,2016,6
6.8,2016,7
8.7,2016,8
8.8,2016,9
9.0,2016,10
9.0,2016,11
8.6,2016,12
7.7,2017,1
8.7,2017,2
9.7,2017,3
9.0,2017,4
8.9,2017,5
10.1,2017,6
9.4,2017,7
9.6,2017,8
8.9,2017,9
10.3,2017,10
11.5,2017,11
8.1,2017,12
9.3,2018,1
8.8,2018,2
10.0,2018,3
10.5,2018,4
10.5,2018,5
9.3,2018,6
8.3,2018,7
8.2,2018,8
7.6,2018,9
11.6,2018,10
8.4,2018,11
6.4,2018,12
7.8,2019,1
9.3,2019,2
