Valor,Year,Mes
0.8,1995,1
0.9,1995,2
1.3,1995,3
0.7,1995,4
0.9,1995,5
1.3,1995,6
1.6,1995,7
1.6,1995,8
1.1,1995,9
1.5,1995,10
1.8,1995,11
2.0,1995,12
1.9,1996,1
1.8,1996,2
2.2,1996,3
1.8,1996,4
2.1,1996,5
3.1,1996,6
2.8,1996,7
2.9,1996,8
2.5,1996,9
2.5,1996,10
2.9,1996,11
3.0,1996,12
3.9,1997,1
2.8,1997,2
2.8,1997,3
3.3,1997,4
4.0,1997,5
2.9,1997,6
2.9,1997,7
4.0,1997,8
3.8,1997,9
4.9,1997,10
3.6,1997,11
4.1,1997,12
5.0,1998,1
3.9,1998,2
5.3,1998,3
4.4,1998,4
4.4,1998,5
5.4,1998,6
5.1,1998,7
4.8,1998,8
3.7,1998,9
6.1,1998,10
5.1,1998,11
4.9,1998,12
5.1,1999,1
5.1,1999,2
6.3,1999,3
5.7,1999,4
5.6,1999,5
5.9,1999,6
5.4,1999,7
5.1,1999,8
4.9,1999,9
4.9,1999,10
4.1,1999,11
3.4,1999,12
4.2,2000,1
4.0,2000,2
3.0,2000,3
2.0,2000,4
3.2,2000,5
1.6,2000,6
0.9,2000,7
1.6,2000,8
1.0,2000,9
1.0,2000,10
1.3,2000,11
1.4,2000,12
2.6,2001,1
2.2,2001,2
2.5,2001,3
2.3,2001,4
2.6,2001,5
2.0,2001,6
2.4,2001,7
1.7,2001,8
1.6,2001,9
2.7,2001,10
2.4,2001,11
1.5,2001,12
1.7,2002,1
2.4,2002,2
2.8,2002,3
3.2,2002,4
3.1,2002,5
3.0,2002,6
1.9,2002,7
1.9,2002,8
1.8,2002,9
2.7,2002,10
2.3,2002,11
2.2,2002,12
3.0,2003,1
3.2,2003,2
3.9,2003,3
2.8,2003,4
3.7,2003,5
2.8,2003,6
1.3,2003,7
2.3,2003,8
3.3,2003,9
3.6,2003,10
3.3,2003,11
2.8,2003,12
2.6,2004,1
2.1,2004,2
4.0,2004,3
3.4,2004,4
4.6,2004,5
3.5,2004,6
3.7,2004,7
4.0,2004,8
3.6,2004,9
4.3,2004,10
3.6,2004,11
3.4,2004,12
5.2,2005,1
5.4,2005,2
5.1,2005,3
7.8,2005,4
6.7,2005,5
7.0,2005,6
4.6,2005,7
5.9,2005,8
6.3,2005,9
5.3,2005,10
6.6,2005,11
4.3,2005,12
4.6,2006,1
6.8,2006,2
7.7,2006,3
6.1,2006,4
6.9,2006,5
8.4,2006,6
8.3,2006,7
6.7,2006,8
6.9,2006,9
7.9,2006,10
7.0,2006,11
4.5,2006,12
8.1,2007,1
9.7,2007,2
12.6,2007,3
9.2,2007,4
14.3,2007,5
13.4,2007,6
12.0,2007,7
10.6,2007,8
9.5,2007,9
12.4,2007,10
13.9,2007,11
9.8,2007,12
13.4,2008,1
15.7,2008,2
12.0,2008,3
17.9,2008,4
15.3,2008,5
13.3,2008,6
12.8,2008,7
11.6,2008,8
10.4,2008,9
15.8,2008,10
13.7,2008,11
11.7,2008,12
10.2,2009,1
10.5,2009,2
15.5,2009,3
9.8,2009,4
9.1,2009,5
11.5,2009,6
14.2,2009,7
12.4,2009,8
16.3,2009,9
12.7,2009,10
11.0,2009,11
9.1,2009,12
8.2,2010,1
9.0,2010,2
13.8,2010,3
12.0,2010,4
14.5,2010,5
14.0,2010,6
16.3,2010,7
14.2,2010,8
11.5,2010,9
11.8,2010,10
13.8,2010,11
10.7,2010,12
10.2,2011,1
9.8,2011,2
15.5,2011,3
13.2,2011,4
14.0,2011,5
13.9,2011,6
15.1,2011,7
10.8,2011,8
12.9,2011,9
13.4,2011,10
11.9,2011,11
14.5,2011,12
8.4,2012,1
9.6,2012,2
11.9,2012,3
11.0,2012,4
10.7,2012,5
8.8,2012,6
8.9,2012,7
10.6,2012,8
7.1,2012,9
8.3,2012,10
11.9,2012,11
7.1,2012,12
5.6,2013,1
7.7,2013,2
7.9,2013,3
7.6,2013,4
10.4,2013,5
9.6,2013,6
10.7,2013,7
9.5,2013,8
7.9,2013,9
6.1,2013,10
7.6,2013,11
8.5,2013,12
7.0,2014,1
7.2,2014,2
9.1,2014,3
8.8,2014,4
10.1,2014,5
10.6,2014,6
11.3,2014,7
7.3,2014,8
8.4,2014,9
8.8,2014,10
8.9,2014,11
5.9,2014,12
5.5,2015,1
9.7,2015,2
9.5,2015,3
7.5,2015,4
10.0,2015,5
8.8,2015,6
10.9,2015,7
9.6,2015,8
7.3,2015,9
11.5,2015,10
9.8,2015,11
9.1,2015,12
11.9,2016,1
11.4,2016,2
12.5,2016,3
15.3,2016,4
13.6,2016,5
10.0,2016,6
11.6,2016,7
13.2,2016,8
8.8,2016,9
10.8,2016,10
14.8,2016,11
10.7,2016,12
13.2,2017,1
14.0,2017,2
15.3,2017,3
13.4,2017,4
13.5,2017,5
15.2,2017,6
12.0,2017,7
9.7,2017,8
