Valor,Year,Mes
5.6,1995,1
8.1,1995,2
8.5,1995,3
5.8,1995,4
7.3,1995,5
7.5,1995,6
8.0,1995,7
7.7,1995,8
6.4,1995,9
9.0,1995,10
8.6,1995,11
6.2,1995,12
8.3,1996,1
6.9,1996,2
9.7,1996,3
8.4,1996,4
7.4,1996,5
8.0,1996,6
9.5,1996,7
9.8,1996,8
8.7,1996,9
9.1,1996,10
10.6,1996,11
9.0,1996,12
7.8,1997,1
9.3,1997,2
10.6,1997,3
9.9,1997,4
9.7,1997,5
8.5,1997,6
10.0,1997,7
8.3,1997,8
10.3,1997,9
9.6,1997,10
10.9,1997,11
8.7,1997,12
6.6,1998,1
8.3,1998,2
8.9,1998,3
7.5,1998,4
10.1,1998,5
9.9,1998,6
10.2,1998,7
10.0,1998,8
9.4,1998,9
9.7,1998,10
11.2,1998,11
10.1,1998,12
9.1,1999,1
8.6,1999,2
11.5,1999,3
8.5,1999,4
10.6,1999,5
11.1,1999,6
11.2,1999,7
11.6,1999,8
10.9,1999,9
12.0,1999,10
12.6,1999,11
11.6,1999,12
10.7,2000,1
12.3,2000,2
16.2,2000,3
12.4,2000,4
15.5,2000,5
10.9,2000,6
9.9,2000,7
12.6,2000,8
13.8,2000,9
15.6,2000,10
14.5,2000,11
12.2,2000,12
11.1,2001,1
9.8,2001,2
10.9,2001,3
7.8,2001,4
14.0,2001,5
12.8,2001,6
9.5,2001,7
6.6,2001,8
6.3,2001,9
8.9,2001,10
11.6,2001,11
10.9,2001,12
10.7,2002,1
9.3,2002,2
8.4,2002,3
8.3,2002,4
9.1,2002,5
9.7,2002,6
10.1,2002,7
10.5,2002,8
9.0,2002,9
9.2,2002,10
9.7,2002,11
7.7,2002,12
6.5,2003,1
7.7,2003,2
8.6,2003,3
6.2,2003,4
5.6,2003,5
7.8,2003,6
9.4,2003,7
8.7,2003,8
10.5,2003,9
13.1,2003,10
11.6,2003,11
8.7,2003,12
8.6,2004,1
12.3,2004,2
11.8,2004,3
11.6,2004,4
11.3,2004,5
11.6,2004,6
10.9,2004,7
9.3,2004,8
11.8,2004,9
11.9,2004,10
12.4,2004,11
9.7,2004,12
10.3,2005,1
14.1,2005,2
12.6,2005,3
10.9,2005,4
13.0,2005,5
12.1,2005,6
12.5,2005,7
12.1,2005,8
9.5,2005,9
11.1,2005,10
11.7,2005,11
9.7,2005,12
11.4,2006,1
11.5,2006,2
13.6,2006,3
8.4,2006,4
14.1,2006,5
13.0,2006,6
16.0,2006,7
16.7,2006,8
16.0,2006,9
14.1,2006,10
14.9,2006,11
11.3,2006,12
10.2,2007,1
11.5,2007,2
12.7,2007,3
10.1,2007,4
13.0,2007,5
12.8,2007,6
13.2,2007,7
15.5,2007,8
14.1,2007,9
16.7,2007,10
12.3,2007,11
6.5,2007,12
9.6,2008,1
12.6,2008,2
11.4,2008,3
11.0,2008,4
10.4,2008,5
8.6,2008,6
15.7,2008,7
16.1,2008,8
13.5,2008,9
13.6,2008,10
15.6,2008,11
10.5,2008,12
8.6,2009,1
13.4,2009,2
7.9,2009,3
8.2,2009,4
11.5,2009,5
6.5,2009,6
9.7,2009,7
11.0,2009,8
4.9,2009,9
6.7,2009,10
7.4,2009,11
10.6,2009,12
8.9,2010,1
10.3,2010,2
12.2,2010,3
10.0,2010,4
9.0,2010,5
11.8,2010,6
7.6,2010,7
6.3,2010,8
10.8,2010,9
7.8,2010,10
4.9,2010,11
8.1,2010,12
8.5,2011,1
9.5,2011,2
9.5,2011,3
7.9,2011,4
11.1,2011,5
11.3,2011,6
5.6,2011,7
10.5,2011,8
9.7,2011,9
7.2,2011,10
10.4,2011,11
4.8,2011,12
10.0,2012,1
11.6,2012,2
12.6,2012,3
9.5,2012,4
14.4,2012,5
15.7,2012,6
15.3,2012,7
6.3,2012,8
13.2,2012,9
13.6,2012,10
6.4,2012,11
10.2,2012,12
10.2,2013,1
12.0,2013,2
10.7,2013,3
12.3,2013,4
7.7,2013,5
12.2,2013,6
11.8,2013,7
11.7,2013,8
8.5,2013,9
12.7,2013,10
11.2,2013,11
6.6,2013,12
9.7,2014,1
14.1,2014,2
13.8,2014,3
12.6,2014,4
15.2,2014,5
12.2,2014,6
9.5,2014,7
13.9,2014,8
10.2,2014,9
6.7,2014,10
9.7,2014,11
11.4,2014,12
13.7,2015,1
6.6,2015,2
11.5,2015,3
10.9,2015,4
11.4,2015,5
11.9,2015,6
10.4,2015,7
10.3,2015,8
9.2,2015,9
7.7,2015,10
11.3,2015,11
4.2,2015,12
5.5,2016,1
13.0,2016,2
11.7,2016,3
10.8,2016,4
12.8,2016,5
14.7,2016,6
9.7,2016,7
7.2,2016,8
9.5,2016,9
13.5,2016,10
8.5,2016,11
12.1,2016,12
9.0,2017,1
10.4,2017,2
12.2,2017,3
11.2,2017,4
12.9,2017,5
7.7,2017,6
9.2,2017,7
13.3,2017,8
7.2,2017,9
10.3,2017,10
9.8,2017,11
7.6,2017,12
12.8,2018,1
13.9,2018,2
14.4,2018,3
10.5,2018,4
10.7,2018,5
11.0,2018,6
16.2,2018,7
13.0,2018,8
10.1,2018,9
10.1,2018,10
7.7,2018,11
8.6,2018,12
8.4,2019,1
