Modelo,MAE,RMSE,R2,MedAE,MAPE,ExpVar,Tiempo
GradientBoosting,8.08204140821881,10.391218182249547,0.22700691318565033,6.82581355127391,0.3410900629422337,0.36812603058715887,0.78
HistGradientBoosting,8.549367854771102,10.82403018588146,0.23694379355168396,7.508906014269387,0.34600516946503684,0.41920499485473917,0.87
ExtraTrees,8.569028155339804,11.015578290229838,0.14126334533668503,7.035199999999999,0.35347140040027064,0.33182083771949983,2.16
DecisionTree,10.089902912621358,12.303210677899703,0.04192679545949387,8.98,0.39610535011458514,0.21948555183532412,0.09
SVR,11.716916251655496,15.305675741928747,-0.2455642115522693,8.69266028475846,0.3583592422155127,0.11902327465482199,0.17
KNeighbors,11.973553398058252,14.750460969645928,-0.38882052681800194,10.091999999999999,0.46943584520935416,0.1521418483470647,0.09
Dummy,12.368709823980556,16.34240048924502,-0.37635979275246434,9.579663197486605,0.36628861720491085,-4.4408920985006264e-17,0.04
Lasso,35.1578711653092,44.42929443989359,-17.68049145467766,46.761289294724676,1.1587234427012216,-7.515371818026006,0.08
Ridge,41.5805901705362,50.69546437925803,-18.35742136741539,51.002597128747276,1.6101781702366318,-6.758879770691142,0.13
LinearRegression,41.802834031422506,50.98917638180643,-18.506620762266554,51.15592071831796,1.618827512064596,-6.813741930530396,0.13
