Modelo,MAE,RMSE,R2,MedAE,MAPE,ExpVar,Tiempo
ExtraTrees,1.7713880733944944,2.4054543695074218,-0.411098311836356,1.307600000000001,0.27557374107706983,0.09136641531735305,2.55
GradientBoosting,1.8603480664110823,2.506087861432241,-0.49982452104950853,1.4177276116771034,0.3318209700077562,0.07234984159895497,0.58
HistGradientBoosting,1.91519337904221,2.5846843954350147,-0.5170834562937421,1.4296274468007892,0.3094027797479898,0.06385772490386668,0.57
DecisionTree,2.112660550458716,2.816163737327403,-0.7351281880051397,1.54,0.34117461523813664,-0.0575324564209712,0.06
KNeighbors,2.2485137614678896,2.746078037977667,-0.20009948513314896,2.084,0.5899852848313946,0.23466386347787888,0.06
Lasso,2.382023332465293,2.885256770014146,-0.6455883020801022,2.0205398176737863,0.3849791181207691,0.3854472484992677,0.07
SVR,2.5975688728304513,3.3255002152164566,-0.6774161650063937,1.8653004474253834,0.5455540912266499,0.09796506455975114,0.11
Ridge,3.5131470020525164,4.143949150048473,-4.079405112428507,3.999582612731635,0.7172654154359115,-0.9810357098750353,0.08
LinearRegression,3.522256707019655,4.149681378906341,-4.102640242534747,4.008908907122436,0.7161935718017504,-0.9901703692576792,0.08
Dummy,3.5415504975819223,4.064688638112892,-1.7919037494397174,3.072348543222156,0.822146916179112,4.4408920985006264e-17,0.03
