Modelo,MAE,RMSE,R2,MedAE,MAPE,ExpVar,Tiempo
ExtraTrees,1.4136380952380938,1.7574820821796968,-0.1299342873318979,1.187199999999996,0.24005650011011034,0.12895246799931517,3.24
HistGradientBoosting,1.4475673937372229,1.8705393134936816,-0.39203377577210247,1.1239827891592085,0.24109783677191735,0.041596911946805634,0.82
GradientBoosting,1.474932691785672,1.9336422467787582,-0.6659670554137485,1.0714122962334454,0.24425310592006433,-0.2568655002929382,0.69
KNeighbors,1.5404190476190476,1.8955530433004184,-0.03580312278911113,1.3560000000000003,0.2820049854962702,0.25657349479978675,0.1
DecisionTree,1.5725714285714285,2.037200521339558,-0.7893232181492047,1.2599999999999998,0.26047569578617147,-0.2265517050354541,0.06
SVR,1.8117603611925386,2.258918741894709,-0.6329244547885879,1.5582323119441714,0.2997654540079251,0.02278112683230884,0.11
Lasso,2.032866009709132,2.4547478443771533,-1.1711451422956456,1.8081547058500085,0.3014997221533843,0.15428818189480534,0.07
Dummy,2.6059236170503643,3.025583976332185,-1.893454772527998,2.4107439008220513,0.4273166657474599,2.2204460492503132e-17,0.03
Ridge,3.4271394238886708,4.061600194176942,-14.394785963438839,4.02221811061987,0.5741018382566642,-5.528177718613717,0.1
LinearRegression,3.441188485142517,4.078064660454292,-14.49077844908605,4.04992729789285,0.5756637612977704,-5.568106315285365,0.1
