Modelo,MAE,RMSE,R2,MedAE,MAPE,ExpVar,Tiempo
HistGradientBoosting,19363.901171673428,31492.369192251517,0.6586709806506372,9905.482152718034,18.863924183292255,0.6624237574503009,4.95
ExtraTrees,20993.88904862527,34382.899967191974,0.5938250188256047,10305.678059999982,26.922770056856603,0.5949142816617309,149.51
GradientBoosting,22882.907868798284,33646.67978054633,0.601404652688424,14538.392350925564,23.603403466368114,0.6258123457295255,42.55
Lasso,23082.904113103697,34285.347980977,0.5961352069288111,16092.873834729722,73.45435716850045,0.5977716363232224,52.78
LinearRegression,23083.72022147695,34285.36981915969,0.5961347714514592,16092.06736953312,73.45884386371405,0.5977724865200622,0.47
Ridge,23083.947094206298,34285.41189768687,0.5961337561061459,16092.094769974408,73.45878422707372,0.5977713994180206,0.25
KNeighbors,23088.9902519403,35791.68293535583,0.5574621464268711,13588.880400000004,35.57919338430624,0.5711574239009279,8.37
DecisionTree,28153.895212298503,47095.552786697175,0.2356792679559862,11486.974000000002,37.94846247098471,0.24970425445596245,3.14
SVR,38457.7288386042,60273.05444697791,-0.24784693631118,17442.87174384719,50.90813547697984,0.007020198373843401,417.95
Dummy,40931.75398638263,54220.412830410365,-0.009761287068070912,33875.855779207406,102.63488825026448,-4.4408920985006264e-17,0.04
