Dataset,Pais,MAE_CV,Pred_2040
paises,ESTADOS UNIDOS DE AMERICA,2676800.6813909784,6521265.635246145
paises,ALEMANIA,123452.76251623667,238188.1896416814
paises,ESPAÑA,95795.1741870105,124001.53867545644
paises,FRANCIA,54304.10418267926,101942.55229670642
paises,REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,32930.44659240279,88688.04844534092
paises,MEXICO,30385.755218973063,64592.08454807176
paises,CANADA,30695.733420610584,75514.36408984123
paises,JAPON,37905.991715289674,40444.58546751082
paises,AUSTRALIA,24132.729717510487,38861.9071694625
paises,ITALIA,21996.847696561952,42983.662079606795
