Modelo,MAE,RMSE,R2,MedAE,MAPE,ExpVar,Tiempo
GradientBoosting,2.6612004900402244,3.440908832267771,-0.1015739576016145,2.1869135019548693,0.3866188858437803,0.045555194006040065,0.6
HistGradientBoosting,2.7174415222502533,3.421414437227109,-0.13470772100737438,2.3096600329458665,0.3541089298767773,0.12074221514092054,0.55
ExtraTrees,2.9369556603773583,3.6443769402829864,-0.3073152201562647,2.5607749999999982,0.36761231224150165,0.07532077001011146,1.99
KNeighbors,3.3940754716981134,4.036922291514156,-0.47893640201550153,3.2260000000000004,0.4835443464492702,0.0070259969046854165,0.06
DecisionTree,3.4643396226415093,4.342029446941437,-0.8816368442971756,3.1199999999999997,0.4727729811764136,-0.5774962109445105,0.06
SVR,3.4663248051653532,4.11703938137481,-0.5335406104813908,3.1118558102429157,0.44442489655922246,0.01259088644660542,0.11
Dummy,3.895785856542626,4.568534936840435,-0.9447612930343847,3.6095381937759656,0.47807583585070307,2.2204460492503132e-17,0.02
Lasso,5.474771526841865,6.583397914212151,-8.46076197276528,5.73687623916102,0.608884025559903,-3.3000500836001394,0.07
Ridge,9.38649405994011,11.30845526020954,-34.70771029848384,11.104749147563846,1.1910059787100373,-11.650517521942186,0.08
LinearRegression,9.433701536645925,11.36848601643882,-34.95003472777515,11.157321101741942,1.1954334903190107,-11.73199825068968,0.06
