Dataset,Pais,MAE_CV,Pred_2040
paises,ESTADOS UNIDOS DE AMERICA,2678810.383479451,6356260.394687652
paises,ALEMANIA,123589.56630669606,227379.539566636
paises,ESPAÑA,95894.31181891526,124685.82719807548
paises,FRANCIA,54514.34788766603,95723.52828868506
paises,REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,31853.268390730915,88524.88283650258
paises,MEXICO,30294.506629742904,65448.336065988435
paises,CANADA,29804.795567403093,82602.25162399714
paises,JAPON,38150.54160589483,42408.192837153685
paises,AUSTRALIA,24091.181075128217,38187.85126341091
paises,ITALIA,21965.40840268078,37794.81536200757
paises,ESTADOS UNIDOS DE AMERICA,2678810.383479451,6356260.394687652
paises,ALEMANIA,124091.93753905855,238666.23097418144
paises,ESPAÑA,95894.31181891526,124685.82719807547
paises,FRANCIA,54950.00379045042,102874.76561420642
paises,REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,33223.98771446628,87981.69564992427
paises,MEXICO,30294.506629742904,65448.336065988435
paises,CANADA,30075.554632120726,75786.79723966266
paises,JAPON,38150.54160589484,42408.192837153685
paises,AUSTRALIA,24091.181075128217,38187.85126341091
paises,ITALIA,21965.408402680783,37794.81536200757
paises,ESTADOS UNIDOS DE AMERICA,2678810.3834794504,6356260.394687652
paises,ALEMANIA,124091.93753905855,238666.23097418144
paises,ESPAÑA,95894.31181891526,124685.82719807548
paises,FRANCIA,54950.00379045042,102874.76561420642
paises,REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,33223.987714466275,87981.69564992424
paises,MEXICO,30294.506629742904,65448.336065988435
paises,CANADA,30075.554632120726,75786.79723966266
paises,JAPON,38150.54160589483,42408.192837153685
paises,AUSTRALIA,24091.181075128217,38187.85126341091
paises,ITALIA,21965.408402680783,37794.81536200757
paises,ESTADOS UNIDOS DE AMERICA,2829653.4320908748,8543076.898110406
paises,ALEMANIA,124119.85376974806,186178.23534958332
paises,ESPAÑA,96290.34456804494,195819.04452131852
paises,FRANCIA,56475.98107690474,163203.77096156386
paises,REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,41916.70343118825,105131.05753839825
paises,MEXICO,34195.26660156542,82788.67140576658
paises,CANADA,42320.86026084146,85480.14098167318
paises,JAPON,38435.565743326806,73624.06433129332
paises,AUSTRALIA,27538.69569651372,59036.546385110036
paises,ITALIA,35480.64277303741,71252.42427257034
